"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 중구",서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동1가 57-7,생활방범,1,200,손기정체육공원 관리사무소앞,30,2018-02,02-3396-4744,37.55523900,126.96457200,2019-05-28
"서울특별시 중구",서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,생활방범,1,130,손기정체육공원 체육생활관,30,2012-07,02-3396-4744,37.55575800,126.96408300,2019-05-28
"서울특별시 중구",서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,생활방범,1,200,손기정체육공원 정문출입구,30,2018-02,02-3396-4744,37.55531600,126.96439500,2019-05-28
"서울특별시 중구",서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,생활방범,1,130,손기정체육공원 후문출입구,30,2012-07,02-3396-4744,37.55672400,126.96631800,2019-05-28
"서울특별시 중구",서울특별시 중구 매봉18길 79 (금호동2가),서울특별시 중구 약수동 333-771,생활방범,1,200,응봉근린공원 도로변 화장실,30,2017-04,02-3396-4744,37.55453372,127.01698959,2019-05-28
"서울특별시 중구",서울특별시 중구 칠패로 27 (순화동),서울특별시 중구 순화동 9-5,생활방범,1,200,순화공원 광장뒤,30,2013-05,02-3396-4744,37.56028600,126.97165100,2019-05-28
"서울특별시 중구",서울특별시 중구 칠패로 27 (순화동),서울특별시 중구 순화동 9-5,생활방범,1,200,순화공원 펜스옆,30,2014-01,02-3396-4744,37.55995800,126.97156200,2019-05-28
"서울특별시 중구",서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 산55,생활방범,1,200,응봉공원,30,2017-09,02-3396-4744,37.55037800,127.01365300,2019-05-28
"서울특별시 중구",서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 844-10,생활방범,1,200,응봉공원,30,2017-09,02-3396-4744,37.54879400,127.01039400,2019-05-28
"서울특별시 중구",서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 351-104,생활방범,1,200,응봉공원,30,2017-09,02-3396-4744,37.54499500,127.00817000,2019-05-28
"서울특별시 중구",서울특별시 중구 정동길 21-8,서울특별시 중구 정동 15-1,생활방범,2,200,정동근린공원,30,2014-01,02-3396-4744,37.56837700,126.97134100,2019-05-28
"서울특별시 중구",서울특별시 중구 정동길 21-8,서울특별시 중구 정동 15-1,생활방범,2,200,정동근린공원,30,2014-01,02-3396-4744,37.56792000,126.97164000,2019-05-28
"서울특별시 중구",서울특별시 중구 통일로 102 옆,서울특별시 중구 의주로1가 44-2,생활방범,2,200,의주로소공원,30,2014-01,02-3396-4744,37.56395500,126.96867900,2019-05-28
"서울특별시 중구",서울특별시 중구 중구 남대문로10길 29 옆,서울특별시 중구 삼각동 118,생활방범,2,200,한빛미디어파크,30,2018-02,02-3396-4744,37.56821300,126.98487700,2019-05-28
"서울특별시 중구",서울특별시 중구 을지로 3길 49,서울특별시 중구 다동 51-2,생활방범,2,200,다동소공원,30,2014-01,02-3396-4744,37.56816300,126.98083600,2019-05-28
"서울특별시 중구",서울특별시 중구 을지로 3길 49,서울특별시 중구 다동 51-2,생활방범,2,200,다동소공원 화장실 앞,30,2014-01,02-3396-4744,37.56807000,126.98065300,2019-05-28
"서울특별시 중구",서울특별시 중구 퇴계로 303-9 옆,서울특별시 중구 광희동 1가 238,생활방범,2,200,쌍림어린이공원,30,2018-02,02-3396-4744,37.56428700,127.00500300,2019-05-28
"서울특별시 중구",서울특별시 중구 퇴계로 45길 32-12,서울특별시 중구 충무로5가 21,생활방범,2,200,묵정어린이공원,30,2018-05,02-3396-4744,37.56389000,127.00015300,2019-05-28
"서울특별시 중구",서울특별시 중구 퇴계로 45길 32-12,서울특별시 중구 충무로5가 21,생활방범,2,200,묵정어린이공원,30,2014-01,02-3396-4744,37.56378100,126.99944800,2019-05-28
"서울특별시 중구",서울특별시 중구,서울특별시 중구 정동 34-31,생활방범,2,200,배재공원,30,2014-01,02-3396-4744,37.56422800,126.97274010,2019-05-28
"서울특별시 중구",서울특별시 중구 동호로 11차길 1 옆,서울특별시 중구 다산동 432-517,생활방범,2,200,충현어린이공원,30,2014-01,02-3396-4744,37.55209900,127.00508100,2019-05-28
"서울특별시 중구",서울특별시 중구 동호로 11차길 1 옆,서울특별시 중구 다산동 432-517,생활방범,2,200,충현어린이공원,30,2014-01,02-3396-4744,37.55216500,127.00488300,2019-05-28
"서울특별시 중구",서울특별시 중구 동호로 11자길 19 옆,서울특별시 중구 다산동 432-1971,생활방범,2,200,늘푸른어린이공원,30,2014-01,02-3396-4744,37.55116200,127.00573200,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로14길 47,서울특별시 중구 청구동 340-15,생활방범,2,200,약수어린이공원,30,2014-01,02-3396-4744,37.55580300,127.01400000,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로14길 47,서울특별시 중구 청구동 340-15,생활방범,2,200,약수어린이공원,30,2014-01,02-3396-4744,37.55557600,127.01379300,2019-05-28
"서울특별시 중구",서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,2,200,무학봉근린공원,30,2014-01,02-3396-4744,37.56248600,127.02452200,2019-05-28
"서울특별시 중구",서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,2,200,무학봉근린공원,30,2014-01,02-3396-4744,37.56254600,127.02495700,2019-05-28
"서울특별시 중구",서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,2,200,무학봉근린공원,30,2018-02,02-3396-4744,37.56291300,127.02505100,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로42나길 12 앞,서울특별시 중구 다산동 122-10,생활방범,2,200,다산어린이공원,30,2014-01,02-3396-4744,37.56366200,127.01842400,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로42나길 12 앞,서울특별시 중구 다산동 122-10,생활방범,2,200,다산어린이공원,30,2018-02,02-3396-4744,37.56389400,127.01892200,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로33가길 17 앞,서울특별시 중구 신당동 241-26,생활방범,2,200,신당동떡볶이마을마당,30,2014-01,02-3396-4744,37.56338300,127.01427600,2019-05-28
"서울특별시 중구",서울특별시 중구 동호로 8나길 15,서울특별시 중구 약수동 349-214,생활방범,2,200,약수동마을마당,30,2014-01,02-3396-4744,37.55281900,127.01260400,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로 24길 23 맞은편,서울특별시 중구 청구동 333-370,생활방범,2,200,청구동마을마당,30,2014-01,02-3396-4744,37.55612900,127.01635800,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로 24길 23 맞은편,서울특별시 중구 청구동 333-370,생활방범,2,200,청구동마을마당,30,2018-04,02-3396-4744,37.55585900,127.01629400,2019-05-28
"서울특별시 중구",서울특별시 중구 퇴계로 36가길 60 앞,서울특별시 중구 필동 2가 111-2,생활방범,2,200,필동마을마당,30,2014-01,02-3396-4744,37.55782300,126.99539400,2019-05-28
"서울특별시 중구",서울특별시 중구 동호로11차길 1 옆,서울특별시 중구 다산동 432-813,생활방범,2,200,충현마을마당,30,2018-02,02-3396-4744,37.55257900,127.00579700,2019-05-28
"서울특별시 중구",서울특별시 중구 동호로 15길 60 옆,서울특별시 중구 다산동 432-1584,생활방범,2,200,다산동마을마당,30,2014-01,02-3396-4744,37.55427900,127.00859300,2019-05-28
"서울특별시 중구",서울특별시 중구 서소문로2길 46 위,서울특별시 중구 중림동 1046,생활방범,2,200,충정녹지대,30,2014-01,02-3396-4744,37.55719100,126.96324900,2019-05-28
"서울특별시 중구",서울특별시 중구 청구로1길 23,서울특별시 중구 신당동 843,생활방범,2,200,용봉근린공원,30,2014-01,02-3396-4744,37.55757200,127.01700500,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로36가길26-14,서울특별시 중구 신당5동57-295,생활방범,3,200,꿈누리어린이공원,30,2014-11,02-3396-4744,37.5605853,127.0206778,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로36길64 114동뒤,서울특별시 중구 동화동45-42,생활방범,3,200,동화어린이공원,30,2014-11,02-3396-4744,37.56017400,127.01825600,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로36길64 114동뒤,서울특별시 중구 동화동45-42,생활방범,3,200,동화어린이공원,30,2018-05,02-3396-4744,37.56005800,127.01815700,2019-05-28
"서울특별시 중구",서울특별시 중구 동호로5길19,서울특별시 중구 약수동309-262,생활방범,3,200,금호터널 쉼터,30,2014-11,02-3396-4744,37.55149860,127.01335120,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로48길33,서울특별시 중구 황학동 755,생활방범,5,200,황학어린이공원1,30,2015-12,02-3396-4744,37.5679118,127.01812100,2019-05-28
"서울특별시 중구",서울특별시 중구 다산로48길33,서울특별시 중구 황학동 755,생활방범,3,200,황학어린이공원2,30,2015-12,02-3396-4744,37.56743900,127.01797100,2019-05-28
