"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,02,02,도곡근린공원,서울특별시 강남구 도곡동 산31-1,서울특별시 강남구 도곡동 산31-1,37.489837,127.044318,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6248,2019-05-20
2,02,02,개포근린공원,서울특별시 강남구 선릉로4길 30,서울특별시 강남구 개포동 139,37.482974,127.063882,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
3,02,02,학동근린공원,서울특별시 강남구 논현동 26,서울특별시 강남구 논현동 26,37.515506,127.025240,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
4,02,02,역삼근린공원1(중간),서울특별시 강남구 테헤란로7길 32,서울특별시 강남구 역삼동 635,37.502204,127.030384,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
5,02,02,역삼근린공원2(위),서울특별시 강남구 테헤란로7길 32,서울특별시 강남구 역삼동 635,37.502204,127.030384,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
6,02,02,역삼근린공원3(아래),서울특별시 강남구 테헤란로7길 21,서울특별시 강남구 역삼동 635-1,37.500852,127.029618,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
7,02,02,도산근린공원,서울특별시 강남구 도산대로45길 20,서울특별시 강남구 신사동 649-9,37.523878,127.035581,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
8,02,02,늘벗근린공원,서울특별시 강남구 대치동 501,서울특별시 강남구 대치동 501,37.489564,127.057138,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
9,02,02,대청근린공원,서울특별시 강남구 개포로124길 24,서울특별시 강남구 일원동 621,37.492762,127.082807,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
10,02,02,대진근린공원,서울특별시 강남구 개포로109길 62,서울특별시 강남구 개포동 13-1,37.496015,127.078806,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
11,02,02,한솔근린공원,서울특별시 강남구 일원동 732,서울특별시 강남구 일원동 732,37.480911,127.078144,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
12,02,02,학여울근린공원,서울특별시 강남구 개포로 509,서울특별시 강남구 개포동 183-1,37.490984,127.069994,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
13,02,02,늘푸른근린공원,서울특별시 강남구 일원동 690,서울특별시 강남구 일원동 690,37.489843,127.077425,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
14,02,02,탄천근린공원,서울특별시 강남구 수서동 722,서울특별시 강남구 수서동 722,37.487402,127.106264,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
15,02,02,신사근린공원,서울특별시 강남구 압구정동 422,서울특별시 강남구 압구정동 422,37.526700,127.021447,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
16,02,02,세곡해오름근린공원,서울특별시 강남구 세곡동 525-1,서울특별시 강남구 세곡동 525-1,37.460015,127.101566,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
17,02,02,포이근린공원(출발마당),서울특별시 강남구 개포동 428,서울특별시 강남구 개포동 428,37.478863,127.046826,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
18,02,02,세천근린공원,서울특별시 강남구 세곡동 603,서울특별시 강남구 세곡동 603,37.466578,127.095156,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
19,02,02,세곡근린공원,서울특별시 강남구 자곡로 78,서울특별시 강남구 자곡동 512-10,37.470893,127.093059,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6248,2019-05-20
20,02,02,대모산자연공원1,서울특별시 강남구 일원본동 산52-13,서울특별시 강남구 일원본동 산52-13,37.478615,127.073689,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6283,2019-05-20
21,02,02,대모산자연공원2,서울특별시 강남구 일원본동 산63-52,서울특별시 강남구 일원본동 산63-52,37.477972,127.081247,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6283,2019-05-20
22,02,02,한마음공원,서울특별시 강남구 개포동 12-3,서울특별시 강남구 개포동 12-3,37.495979,127.075778,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6247,2019-05-20
23,02,02,일원장미공원,서울특별시 강남구 일원동 732-4,서울특별시 강남구 일원동 732-4,37.480648,127.080703,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6247,2019-05-20
24,02,02,수서개나리공원,서울특별시 강남구 수서동 723-1,서울특별시 강남구 수서동 723-1,37.487485,127.105386,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6247,2019-05-20
25,02,02,일원까치공원,서울특별시 강남구 일원동 712-4,서울특별시 강남구 일원동 712-4,37.492027,127.088152,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6247,2019-05-20
26,02,02,예지공원,서울특별시 강남구 개포동 12-7,서울특별시 강남구 개포동 12-7,37.491919,127.073150,02,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6247,2019-05-20
27,02,02,양재천(영동2교),서울특별시 강남구 개포로 403,서울특별시 강남구 개포동 175,37.487763,127.058790,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
28,02,02,양재천(영동3교),서울특별시 강남구 개포동 1279,서울특별시 강남구 개포동 1279,37.484504,127.051880,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
29,02,02,양재천(영동4교),서울특별시 강남구 도곡동 486,서울특별시 강남구 도곡동 486,37.487158,127.056299,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
30,02,02,양재천(영동6교),서울특별시 강남구 대치동 514-2,서울특별시 강남구 대치동 514-2,37.495617,127.072767,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
31,02,02,탄천(탄천1교),서울특별시 강남구 일원동 580-3,서울특별시 강남구 일원동 580-3,37.500411,127.080997,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
32,02,02,탄천(광평교),서울특별시 강남구 수서동 329-34,서울특별시 강남구 수서동 329-34,37.492627,127.099575,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
33,02,02,탄천양재천 방문자센터,서울특별시 강남구 남부순환로 3143,서울특별시 강남구 대치동 3-3,37.500275,127.074733,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
34,02,02,탄천(대곡교),서울특별시 강남구 율현동 94,서울특별시 강남구 율현동 94,37.472467,127.119110,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
35,02,02,세곡천(세곡3교),서울특별시 강남구 세곡동 54,서울특별시 강남구 세곡동 54,37.462030,127.114645,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
36,02,02,세곡천(세곡1교),서울특별시 강남구 세곡동 618,서울특별시 강남구 세곡동 618,37.465969,127.100225,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
37,02,02,세곡천(세곡5교),서울특별시 강남구 세곡동 526-2,서울특별시 강남구 세곡동 526-2,37.462402,127.104484,01,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6254,2019-05-20
