"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"공원-강일동-002",01,01,강일동 469-6 벌말근린공원,서울특별시 강동구 강일동 469-6,서울특별시 강동구 강일동 469-6,37.5585556,127.1763153,03,N,N,N,경보등 + 경보음 + CCTV,2016,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
"공원-강일동-003",01,01,강일동 445 윤슬어린이공원,서울특별시 강동구 강일동 445,서울특별시 강동구 강일동 445,37.5628891,127.178009,03,N,N,N,경보등 + 경보음 + CCTV,2016,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
"공원-강일동-004",01,01,상일동 495 구름어린이공원,서울특별시 강동구 상일로10길 41 (상일동),서울특별시 강동구 상일동 495,37.5505854,127.1749825,03,N,N,N,경보등 + 경보음 + CCTV,2016,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
"공원-고덕1동-001",01,01,고덕1동 308 곰돌이어린이공원,서울특별시 강동구 고덕로61번길 34 (고덕동),서울특별시 강동구 고덕동 308,37.55620956,127.1550598,03,N,N,N,경보등 + 경보음 + CCTV,2019,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
"공원-고덕1동-002",01,01,고덕1동 536 꿈나래어린이공원,서울특별시 강동구 아리수로64길 29 (고덕동),서울특별시 강동구 고덕동 536,37.5608275,127.1537567,03,N,N,N,경보등 + 경보음 + CCTV,2019,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
"공원-고덕1동-003",01,01,고덕1동 497 두레근린공원,서울특별시 강동구 동남로79길 46 (고덕동),서울특별시 강동구 고덕동 497,37.5584546,127.1531803,03,N,N,N,경보등 + 경보음 + CCTV,2015,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
"공원-고덕1동-004",01,01,고덕1동 310 송림근린공원,서울특별시 강동구 고덕로61길 34 (고덕동),서울특별시 강동구 고덕동 310,37.5566006,127.1547439,03,N,N,N,경보등 + 경보음 + CCTV,2014,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
"공원-고덕1동-005",01,01,고덕1동 493 까치근린공원,서울특별시 강동구 아리수로50길 82 (고덕동),서울특별시 강동구 고덕동 493,37.55696487,127.1496811,03,N,N,N,경보등 + 경보음 + CCTV,2015,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
"공원-고덕1동-006",01,01,고덕1동 688 고덕시영 래미안 305동 앞,서울특별시 강동구 아리수로50길 50 (고덕동),서울특별시 강동구 고덕동 688,37.5592409,127.1489090,03,N,N,N,경보등 + 경보음 + CCTV,2016,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
"공원-고덕1동-007",01,01,고덕1동 688 고덕시영 래미안 304동 앞,서울특별시 강동구 아리수로50길 50 (고덕동),서울특별시 강동구 고덕동 688,37.5592409,127.1489090,03,N,N,N,경보등 + 경보음 + CCTV,2016,2019-05-31,Y,강동구청,02-3425-7090,2019-05-31
