"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"공원녹지과-1",01,01,솔밭근린공원 화장실,서울특별시 강북구 삼양로 561,서울특별시 강북구 우이동 80,37.653228,127.012259,03,Y,N,N,X,2016,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-2",01,01,오동근린공원 율곡화장실,서울특별시 강북구 오패산로52사길 24,서울특별시 강북구 미아동 산25-13,37.628408,127.031561,03,Y,N,N,X,2016,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-3",01,99,우이동 만남의광장 화장실,서울특별시 강북구 우이동 186-5,서울특별시 강북구 우이동 186-5,37.644060,127.033317,03,Y,N,N,X,2016,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-4",01,01,북한산 유아숲체험장 화장실,서울특별시 강북구 미아동 산108-19,서울특별시 강북구 미아동 산108-19,37.621150,127.007200,03,Y,N,N,X,2016,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-5",01,01,한빛어린이공원 화장실,서울특별시 강북구 미아동 220-20,서울특별시 강북구 미아동 220-20,37.627895,127.022790,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-6",01,01,운산어린이공원 화장실,서울특별시 강북구 미아동 165-3,서울특별시 강북구 미아동 165-3,37.632085,127.025548,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,솔샘어린이공원 화장실,서울특별시 강북구 미아동 329-11,서울특별시 강북구 미아동 329-11,37.618156,127.026994,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,번남어린이공원 화장실,서울특별시 강북구 번동 447-1,서울특별시 강북구 번동 447-1,37.636007,127.024811,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,샛강어린이공원 화장실,서울특별시 강북구 번동 472-39,서울특별시 강북구 번동 472-39,37.639586,127.033005,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,오얏골어린이공원 화장실,서울특별시 강북구 번동 228,서울특별시 강북구 번동 228,37.634192,127.034241,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,벌말어린이공원 화장실,서울특별시 강북구 번동 235,서울특별시 강북구 번동 235,37.632328,127.036738,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,벌리어린이공원 화장실,서울특별시 강북구 번동 240,서울특별시 강북구 번동 240,37.627714,127.044505,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,오현어린이공원 화장실,서울특별시 강북구 한천로105길 23,서울특별시 강북구 번동 244,37.624864,127.046543,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,흰구름어린이공원 화장실,서울특별시 강북구 노해로23길 58,서울특별시 강북구 수유동 252-16,37.645841,127.020437,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,은모루어린이공원 화장실,서울특별시 강북구 수유동 172-209,서울특별시 강북구 수유동 172-209,37.642552,127.026835,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,응달마을어린이공원 화장실,서울특별시 강북구 송천동 860-116,서울특별시 강북구 송천동 860-116,37.618383,127.024280,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,색동어린이공원 화장실,서울특별시 강북구 삼양로80나길 56,서울특별시 강북구 수유동 49-7,37.633702,127.020521,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,01,오동공원 유아숲체험장 화장실,서울특별시 강북구 번동 산17-10,서울특별시 강북구 번동 산17-10,37.633668,127.031999,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
"공원녹지과-",01,99,삼양체육과학공원 화장실,서울특별시 강북구 삼양동 산108-83,서울특별시 강북구 삼양동 산108-83,37.621883,127.013021,03,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
