"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
82000001,01,02,가양동 1459-9,,서울특별시 강서구 가양동 1459-9,37.569929,126.8413725,03,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000002,01,02,가양동 산3,,서울특별시 강서구 가양동 산3,37.5740992,126.8320968,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000003,01,02,화곡동 산162-1,,서울특별시 강서구 화곡동 산162-1,37.537547,126.843945,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000004,01,02,화곡동 산164-3,,서울특별시 강서구 화곡동 산164-3,37.534750,126.844812,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000005,01,02,방화동 산135-3,,서울특별시 강서구 방화동 산135-3,37.5779834,126.8081049,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000006,01,02,등촌동 687-4,,서울특별시 강서구 등촌동 687-4,37.5633836,126.8330348,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000007,01,02,내발산동 739,,서울특별시 강서구 내발산동 739,37.5552353,126.816945,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000008,01,02,방화동 855,,서울특별시 강서구 방화동 855,37.5809066,126.8053528,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000009,01,02,등촌동 706,,서울특별시 강서구 등촌동 706,37.5585664,126.8412098,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000010,01,02,내발산동 748,,서울특별시 강서구 내발산동 748,37.545715,126.825253,03,Y,N,N,,2018,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000011,01,02,내발산동 748,,서울특별시 강서구 내발산동 748,37.543486,126.824343,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000012,01,02,방화동 842,,서울특별시 강서구 방화동 842,37.5741604,126.8120789,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000013,01,02,내발산동 산19-1,,서울특별시 강서구 내발산동 산19-1,37.553421,126.8431300,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000014,01,02,우장산동 산60-1,,서울특별시 강서구 우장산동 산60-1,37.550478,126.845619,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000015,01,02,등촌동 690-5,,서울특별시 강서구 등촌동 690-5,37.5597817,126.8332728,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000016,01,02,가양동 1471,,서울특별시 강서구 가양동 1471,37.5677661,126.8438258,03,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000017,01,02,가양동 1485-5,,서울특별시 강서구 가양동 1485-5,37.562001,126.8549772,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000018,01,02,가양동 1482-1,,서울특별시 강서구 가양동 1482-1,37.529554,126.844986,03,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000019,01,02,화곡동 98-22,,서울특별시 강서구 화곡동 98-22,37.543449,126.844116,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000020,01,02,가양동 1461-1,,서울특별시 강서구 가양동 1461-1,37.570173,126.846815,03,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000021,01,02,가양1동 1459-1,,서울특별시 강서구 가양1동 1459-1,37.571792,126.844243,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000022,01,02,방화동 184-66,,서울특별시 강서구 방화동 184-66,37.571792,126.819136,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000023,01,02,가양동 1478-1,,서울특별시 강서구 가양동 1478-1,37.565086,126.851657,03,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000024,01,02,가양동 1489-1,,서울특별시 강서구 가양동 1489-1,37.559482,126.862878,03,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
