"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"생활방범-001",01,05,광장동 266,"서울특별시 광진구 광장로3길 22 (광장동, 미도빌라)",서울특별시 광진구 광장동 266,37.548589,127.103006,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-002",01,05,광장동 554,서울특별시 광진구 아차산로70길 35 (광장동),서울특별시 광진구 광장동 554,37.541144,127.103301,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-003",01,05,광장동 570,"서울특별시 광진구 아차산로 540 (광장동, 상록타워포철사원임대아파트)",서울특별시 광진구 광장동 570,37.542522,127.101472,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-004",01,05,광장동 107-1,"서울특별시 광진구 아차산로78길 53 (광장동, 동북아 스위트힐아파트)",서울특별시 광진구 광장동 107-1,37.551522,127.109833,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-005",01,05,광장동 148-6,서울특별시 광진구 아차산로 636 (광장동),서울특별시 광진구 광장동 148-6,37.548995,127.108990,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-006",01,05,광장동 244-18,서울특별시 광진구 천호대로 809 (광장동),서울특별시 광진구 광장동 244-18,37.545957,127.103591,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-007",01,05,광장동 248-19,"서울특별시 광진구 아차산로75길 25 (광장동, 코지하우스)",서울특별시 광진구 광장동 248-19,37.546843,127.103440,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-008",01,05,광장동 320-8,서울특별시 광진구 아차산로76길 19 (광장동),서울특별시 광진구 광장동 320-8,37.547552,127.107957,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-009",01,05,광장동 323-7,서울특별시 광진구 아차산로78길 176 (광장동),서울특별시 광진구 광장동 323-7,37.548102,127.108064,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-010",01,05,광장동 370-5,서울특별시 광진구 광장로1다길 60 (광장동),서울특별시 광진구 광장동 370-5,37.550878,127.101337,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-011",01,05,광장동 393-6,서울특별시 광진구 광장로1나길 16 (광장동),서울특별시 광진구 광장동 393-6,37.548844,127.101840,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-012",01,05,광장동 401-17,서울특별시 광진구 광장로 1 (광장동),서울특별시 광진구 광장동 401-17,37.545510,127.097798,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-013",01,05,광장동 458-1,서울특별시 광진구 아차산로66길 66 (광장동),서울특별시 광진구 광장동 458-1,37.541530,127.098991,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-014",01,05,구의1동 221-21,"서울특별시 광진구 구의로 13-6 (구의동, 영화빌리지)",서울특별시 광진구 구의1동 221-21,37.539461,127.088957,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
"생활방범-015",01,05,구의1동 221-59,서울특별시 광진구 아차산로57길 14 (구의동),서울특별시 광진구 구의1동 221-59,37.539227,127.088314,03,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
