"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,01,01,고척근린공원 게이트볼,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척2동 산9-14,37.505818,126.853614,03,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
2,01,01,고척근린공원 주차장,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척2동 산9-14,37.504137,126.852740,03,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
3,01,01,고척근린공원 놀이터(상상공원),서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척2동 산9-14,37.505272,126.851803,03,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
4,01,01,절골어린이공원 어린이놀이터,서울특별시 구로구 개봉로3가길 88-9,서울특별시 구로구 개봉3동 312-25,37.482971,126.851614,03,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
5,01,99,구일초교 1지점 회전형,서울특별시 구로구 구일로 68,서울특별시 구로구 구로1동 685-221,37.492044,126.873512,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
6,01,99,구일초교 2지점 회전형,서울특별시 구로구 구일로 62,서울특별시 구로구 구로1동 685-219,37.491330,126.874711,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
7,01,99,구로초교 1지점 회전형,서울특별시 구로구 구로중앙로27가길 23,서울특별시 구로구 구로2동 513-34,37.497634,126.886133,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
8,01,99,구로초교 2지점 회전형,서울특별시 구로구 구로중앙로27나길 18,서울특별시 구로구 구로2동 511-25,37.496688,126.885267,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
9,01,99,동구로초교 회전형 구민어린이집 앞,서울특별시 구로구 가마산로26길 34,서울특별시 구로구 구로4동 90 - 1,37.494722,126.891765,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
10,01,99,신구로초교 회전형,서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로5동 105,37.499603,126.889930,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
11,01,99,영일초교 1지점 회전형,서울특별시 구로구 구로동로7나길 32,서울특별시 구로구 가리봉동 10-7,37.485118,126.883111,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
12,01,99,영일초교 2지점 회전형 홈마트 앞,서울특별시 구로구 구로동로7나길 15,서울특별시 구로구 가리봉동 13-21,37.485958,126.883415,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
13,01,99,덕의초교 회전형,서울특별시 구로구 고척로 211,서울특별시 구로구 고척2동 169-13,37.505552,126.856818,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
14,01,99,"세곡초교 학교 앞 회전형 태후사랑,무궁화슈퍼 앞",서울특별시 구로구 고척로27길 32,서울특별시 구로구 개봉1동 119-13,37.503911,126.848661,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
15,01,99,개봉초교 1지점 회전형 팅커벨 피아노학원 앞,서울특별시 구로구 개봉로16길 31,서울특별시 구로구 개봉2동 262-32,37.490041,126.857890,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
16,01,99,개봉초교 2지점 회전형 아이파크 110동 앞,서울특별시 구로구 개봉로2길 87-15,서울특별시 구로구 개봉3동 276-21,37.489055,126.859018,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
17,01,99,오류초교 1지점 회전형 오류동장로교회 주차장 맞은편,서울특별시 구로구 고척로10길 45,서울특별시 구로구 오류1동 13-46,37.497280,126.841764,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
18,01,99,오류초교 2지점 회전형,서울특별시 구로구 경인로25길 41,서울특별시 구로구 오류1동 16-4,37.497795,126.842772,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
19,01,99,오류초교 3지점 회전형 경인공인중개사 앞,서울특별시 구로구 고척로16길 75,서울특별시 구로구 오류1동 30-5,37.497468,126.843493,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
20,01,99,오류초교 4지점 회전형 백운빌라 맞은편,서울특별시 구로구 경인로25길 56,서울특별시 구로구 오류1동 27-56,37.498495,126.843026,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
21,01,99,오류남초교 1지점 경남아너스빌 105동 앞,서울특별시 구로구 서해안로24길 21-4,서울특별시 구로구 오류2동 165-3,37.489650,126.839274,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
22,01,99,오류남초교 2지점 회전형 온누리슈퍼 앞,서울특별시 구로구 서해안로20길 24,서울특별시 구로구 오류2동 187-24,37.488758,126.838140,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
23,01,99,오류남초교 3지점 회전형 경남아너스빌 103동 앞 삼거리,서울특별시 구로구 서해안로24길 22,서울특별시 구로구 오류2동 332-59,37.490591,126.839175,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
24,01,99,"온수초교 정문, 손세차 옆",서울특별시 구로구 부일로 883,서울특별시 구로구 수궁동 8-2,37.493173,126.825576,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
25,01,99,"동산교회 앞, 온수초교",서울특별시 구로구 부일로9길 57,서울특별시 구로구 수궁동 7-5,37.495322,126.825406,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
26,01,99,"온수초교 3지점, 후문입구 큰도로쪽",서울특별시 구로구 부일로 893,서울특별시 구로구 수궁동 산1-2,37.494347,126.826761,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
27,01,99,매봉초교 1지점 회전형,서울특별시 구로구 고척로21다길 14,서울특별시 구로구 개봉1동 7-33,37.503524,126.844537,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
28,01,99,매봉초교 2지점 회전형 우성아파트 묘소앞 삼거리,서울특별시 구로구 고척로21길 55,서울특별시 구로구 개봉1동 산1-2,37.504697,126.843967,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
29,01,99,오정초교 1지점 회전형 정문 앞,서울특별시 구로구 경인로2길 11,서울특별시 구로구 오류2동 108-80,37.489809,126.826830,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
30,01,99,오정초교 2지점 회전형,서울특별시 구로구 경인로2길 10,서울특별시 구로구 오류2동 108-28,37.489847,126.825636,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
31,01,99,구로남초교 1지점 회전형 정문 앞,서울특별시 구로구 디지털로27길 64,서울특별시 구로구 구로3동 252-60,37.484131,126.890367,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
32,01,99,구로남초교 2지점 회전형 꿀벌유치원 앞,서울특별시 구로구 디지털로27다길 9,서울특별시 구로구 구로3동 797-14,37.484751,126.889550,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
33,01,99,구로남초교 3지점 회전형 한국타이어 앞,서울특별시 구로구 우마3길 44,서울특별시 구로구 가리봉동 131-43,37.480598,126.889996,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
34,01,99,"개웅초인근, 개웅어린이공원 위 1 회전형",서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉2동 340-8,37.490072,126.852825,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
35,01,99,"개웅초인근, 개웅어린이공원 아래 2 회전형",서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉2동 340-8,37.489891,126.852993,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
36,01,99,구로남초교(환경어린이공원) 회전형,서울특별시 구로구 신도림로6길 30,서울특별시 구로구 구로3동 797-1,37.485004,126.888273,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
37,01,99,"온수초 인근, 삭세어린이공원",서울특별시 구로구 오리로21길 104,서울특별시 구로구 수궁동 237-12,37.496147,126.825387,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
38,01,99,"온수초 인근, 삭세어린이공원",서울특별시 구로구 부일로9길 90-16,서울특별시 구로구 수궁동 237-1,37.496589,126.824714,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
67,01,99,구로5동 112-2,서울특별시 구로구 경인로20나길 30,서울특별시 구로구 구로5동 112-2,37.501581,126.887286,03,N,N,N,CCTV,2005,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
97,01,99,개웅산길 입구 앞(푸른이비인후과 앞),서울특별시 구로구 개봉로 63,서울특별시 구로구 개봉2동  403-53,37.491314,126.855832,03,N,N,N,CCTV,2006,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
102,01,99,구로역 지하차도 옆,서울특별시 구로구 경인로 544,서울특별시 구로구 구로2동  597-47,37.501700,126.878449,03,N,N,N,CCTV,2006,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
107,01,99,새마을금고 앞,서울특별시 구로구 고척로 231,서울특별시 구로구 고척2동  194-7,37.506305,126.858690,03,N,N,N,CCTV,2006,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
109,01,99,고척119안전센터 앞,서울특별시 구로구 고척로 195,서울특별시 구로구 고척2동  165-18,37.504793,126.854698,03,N,N,N,CCTV,2006,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
126,01,99,공구상가 주차장입구,서울특별시 구로구 구로동로35길 30,서울특별시 구로구 구로2동  604-1,37.503952,126.878770,03,N,N,N,CCTV,2006,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
164,01,99,구로초교근처,서울특별시 구로구 남부순환로107가길  6-3,서울특별시 구로구 구로2동 443-67,37.496285,126.886746,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
165,01,99,구로2동 448-22,서울특별시 구로구 남부순환로107가길  6-3,서울특별시 구로구 구로2동 448-22,37.495258,126.883596,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
166,01,99,구로2동 458,서울특별시 구로구 구로동로2길 13-11,서울특별시 구로구 구로2동 458,37.496429,126.883932,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
167,01,99,505호 약국 옆 골목길,서울특별시 구로구 구로동로2길 13-11,서울특별시 구로구 구로2동 505-13,37.498347,126.884144,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
168,01,99,뚱땡이오겹살,서울특별시 구로구  구로동로5길 13-15,서울특별시 구로구 구로5동 41-4,37.504232,126.891818,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
169,01,99,가건물(신구로초교 인근),서울특별시 구로구 남부순환로105가길  16,서울특별시 구로구 구로5동 534-26,37.498727,126.888780,03,N,N,N,CCTV,2007,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
170,01,99,개미슈퍼 사거리,서울특별시 구로구 우마길  24-1,서울특별시 구로구 구로5동 536-57,37.497046,126.888220,03,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
171,01,99,열림빌딩앞 노상,서울특별시 구로구 구로동로3길  12,서울특별시 구로구 구로5동 551-109,37.500832,126.884865,03,N,N,N,CCTV,2007,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
172,01,99,구로5동 554-2,서울특별시 구로구 구로동로2다길 19-10,서울특별시 구로구 구로5동 554-2,37.502611,126.886953,03,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
173,01,99,현대APT-태영APT사이,서울특별시 구로구 구로동로2다길 19-10,서울특별시 구로구 구로5동 560,37.504738,126.885784,03,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
174,01,99,구로5동 571-20,서울특별시 구로구 우마1가길 13-25,서울특별시 구로구 구로5동 571-20,37.502342,126.884618,03,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
175,01,99,구로2동 447-7,서울특별시 구로구 우마1가길 13-25,서울특별시 구로구 구로2동 447-7,37.494926,126.884476,03,N,N,N,CCTV,2007,2019-02-28,Y,구로구청,02-860-2114,2019-03-21
