"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
P101,01,05,성창빌라 앞,서울특별시 금천구 독산로58가길 68,서울특별시 금천구 독산2동 378-48,37.4649216,126.9069769,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P102,01,05,GS25 앞,서울특별시 금천구 독산로64길 70,서울특별시 금천구 독산2동 377-5,37.466504,126.905941,03,N,N,N,경보음 + CCTV,2018,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P103,01,05,우리슈퍼마켓 앞,서울특별시 금천구 독산로68길 61,서울특별시 금천구 독산2동 945-3,37.4670615,126.9049245,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P104,01,05,유선레오빌 앞,서울특별시 금천구 독산로58길 42,서울특별시 금천구 독산2동 379-3,37.4650051,126.9052925,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P105,01,05,모인ARTSCHOOL 앞,서울특별시 금천구 독산로60길 24,서울특별시 금천구 독산2동 378-273,37.4647062,126.9042512,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P106,01,05,웰빙아트빌 앞,서울특별시 금천구 독산로56길 18-4,서울특별시 금천구 독산2동 378-460,37.4636914,126.9043282,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P107,01,05,광성빌라 앞,서울특별시 금천구 독산로68길 15,서울특별시 금천구 독산2동 1038-16,37.466058,126.9026473,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P108,01,05,공간어린이집 앞,서울특별시 금천구 독산로67길 19,서울특별시 금천구 독산2동 1042-19,37.464831,126.9015277,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P109,01,05,새천년할인마트,서울특별시 금천구 시흥대로94길 72,서울특별시 금천구 독산2동 1062,37.4636142,126.9013451,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P110,01,05,믿음어린이집 앞,서울특별시 금천구 시흥대로100길 35,서울특별시 금천구 독산2동 1052-13,37.4641416,126.8992518,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P111,01,05,김주연헤어클리닉 앞,서울특별시 금천구 시흥대로84길 31,서울특별시 금천구 독산2동 1069-15,37.4606985,126.901082,03,N,N,N,경보음 + CCTV,2018,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P112,01,05,호정종합상가 앞,서울특별시 금천구 시흥대로88길 21,서울특별시 금천구 독산2동 1069,37.4611096,126.9002186,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P113,01,05,동아타운A동 앞,서울특별시 금천구 독산로50길 141,서울특별시 금천구 시흥4동 3-107,37.4622456,126.9119669,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P114,01,05,법원빌A동 앞,서울특별시 금천구 독산로40길 78,서울특별시 금천구 시흥4동 796-36,37.4613724,126.9086359,03,N,N,N,경보음 + CCTV,2018,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P115,01,05,경원주택 옆,서울특별시 금천구 독산로44다길 11,서울특별시 금천구 시흥4동 791-21,37.461587,126.9063675,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P116,01,05,한빛무궁화아파트 옆,,서울특별시 금천구 시흥4동 798-39,37.460219,126.907247,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
P117,01,05,대성알뜰매장문구 앞,서울특별시 금천구 독산로50다길 29,서울특별시 금천구 시흥4동 3-222,37.4610441,126.9107499,03,N,N,N,경보음 + CCTV,2017,2019-06-10,Y,금천구 U-통합운영센터,02-2627-1904,2019-06-10
