"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"도봉1C1001",01,05,도봉산3길 57 바다회갯벌,서울특별시 도봉구 도봉산3길 57,,37.684728,127.0438041,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉1C1002",01,05,도봉로187길 10 무지개공원 입구,서울특별시 도봉구 도봉로187길 10,,37.6859609,127.0452803,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉1C1003",01,05,도봉로181길 29 해가온 앞,서울특별시 도봉구 도봉로181길 29,,37.68410653,127.0441865,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉2C1004",01,05,도봉로180길 53 극동아파트상가 뿌리부동산 앞 전주,서울특별시 도봉구 도봉로180길 53,,37.68253694,127.0489787,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉1C1005",01,05,도봉로181가길 29 미래마트 앞,서울특별시 도봉구 도봉로181가길 29,,37.6826291,127.0451903,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉1C1007",01,05,도봉로171길 70-6 사거리 앞 전주,서울특별시 도봉구 도봉로171길 70-6,,37.6789652,127.0401342,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉2C1008",01,05,도봉로164길 5 ABC렌터카 앞 전주,서울특별시 도봉구 도봉로164길 5,,37.6760843,127.0452175,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉2C1009",01,05,도봉로162길 21,서울특별시 도봉구 도봉로162길 21,,37.6748153,127.0460727,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉1C1010",01,05,도봉로169나길 89 한울머리터,서울특별시 도봉구 도봉로169나길 89,,37.6755702,127.0437074,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉1C1011",01,05,시루봉로23길 51 삼성빌라 앞,서울특별시 도봉구 시루봉로23길 51,,37.6729617,127.0408287,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉2C1012",01,05,도봉로160길 17 갈대밭공원 입구,서울특별시 도봉구 도봉로160길 17,,37.6742299,127.0455451,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉2C1013",01,05,도봉로156길 22 도봉마트,서울특별시 도봉구 도봉로156길 22,,37.6725151,127.0455217,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉2C1015",01,05,마들로 683 휴먼안경점,서울특별시 도봉구 마들로 683,,37.6712945,127.0462277,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉2C1016",01,05,도봉로154길 18 도봉중학교 후문,서울특별시 도봉구 도봉로154길 18,,37.6710777,127.0450425,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉1C1017",01,05,도당로27길 60 고향식당 앞,서울특별시 도봉구 도당로27길 60,,37.6700601,127.0412254,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉1C1018",01,05,도봉로157길 41,서울특별시 도봉구 도봉로157길 41,,37.6734006,127.0417231,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉1C1019",01,05,도봉로173길 122-6,서울특별시 도봉구 도봉로173길 122-6,,37.6787983,127.0373673,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"도봉2C1020",01,05,도봉로156길 32 도봉왕족발보쌈 골목,서울특별시 도봉구 도봉로156길 32,,37.6725244,127.0461247,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"방학2C2001",01,05,도당로19길 64 오마트 맞은편,서울특별시 도봉구 도당로19길 64,,37.669849,127.0396468,03,Y,N,N,,2018,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"방학1C2002",01,05,도당로27길 48 명품부동산 앞 전주,서울특별시 도봉구 도당로27길 48,,37.6694522,127.0410496,03,Y,N,N,,2018,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"방학2C2003",01,05,도당로19길 37 생잇들어린이공원 입구,서울특별시 도봉구 도당로19길 37,,37.6687114,127.0392523,03,Y,N,N,,2018,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
C2004,01,05,도봉로152가길 10 방학2번출구 돼지한마리 앞,서울특별시 도봉구 도봉로152가길 10,,37.66992146,127.0443413,03,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"방학2C2005",01,05,시루봉로22길 19 청주슈퍼 앞,서울특별시 도봉구 시루봉로22길 19,,37.6689524,127.0376498,03,Y,N,N,,2018,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"방학2C2006",01,05,도당로13바길 55 마을슈퍼,서울특별시 도봉구 도당로13바길 55,,37.6685982,127.0362069,03,Y,N,N,,2018,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"방학2C2007",01,05,시루봉로15길 33 샘말어린이공원 입구,서울특별시 도봉구 시루봉로15길 33,,37.6684275,127.0319675,03,Y,N,N,,2018,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
"방학2C2008",01,05,시루봉로 208 SK텔레콤 앞 전주,서울특별시 도봉구 시루봉로 208,,37.6672783,127.0335761,03,Y,N,N,,2018,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
