"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"방범-1",01,99,도로명 주소 참조,서울특별시 동작구 장승배기로23길 10,,37.5100615,126.939452,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-2",01,99,도로명 주소 참조,서울특별시 동작구 노량진로8길 40 마당쇠숯불갈비,,37.512401,126.937588,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-3",01,99,도로명 주소 참조,서울특별시 동작구 장승배기로18길 27,,37.5075372,126.9417963,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-4",01,99,도로명 주소 참조,서울특별시 동작구 만양로14다길 7,,37.511299,126.9454268,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-5",01,99,도로명 주소 참조,서울특별시 동작구 장승배기로22길 44,,37.5083426,126.9417883,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-6",01,99,도로명 주소 참조,서울특별시 동작구 장승배기로19다길 24,,37.5091861,126.937572,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-7",01,99,도로명 주소 참조,서울특별시 동작구 장승배기로24가길 39,,37.511253,126.9419243,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-8",01,99,도로명 주소 참조,서울특별시 동작구 노량진로26길 65,,37.5097441,126.955522,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-9",01,99,도로명 주소 참조,서울특별시 동작구 노량진로18길 20,,37.511993,126.9508136,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-10",01,99,도로명 주소 참조,서울특별시 동작구 상도로60길 35,,37.4921086,126.9546442,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-11",01,99,도로명 주소 참조,서울특별시 동작구 상도로67길 20,,37.494472,126.9567791,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-12",01,99,도로명 주소 참조,서울특별시 동작구 상도로41가길 6,,37.5026074,126.9503652,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
"방범-13",01,99,도로명 주소 참조,서울특별시 동작구 상도로 41길 50,,37.5024457,126.9517303,03,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
