"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"마포-방범-0001",01,99,환일길 27,서울특별시 마포구 환일길 27,서울특별시 마포구 아현동 723-12,37.555886,126.960827,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
"마포-방범-0002",01,99,신촌로 32길 4,서울특별시 마포구 신촌로 32길 4,서울특별시 마포구 아현동 346-21,37.556945,126.953150,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
"마포-방범-0003",01,99,숭문16길 38,서울특별시 마포구 숭문16길 38,서울특별시 마포구 아현동 680,37.555743,126.948685,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
"마포-방범-0004",01,99,대흥로30길 45,서울특별시 마포구 대흥로30길 45,서울특별시 마포구 아현동 676,37.556561,126.948537,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
"마포-방범-0005",01,99,만리재옛길 41,서울특별시 마포구 만리재옛길 41,서울특별시 마포구 공덕동 120-38,37.547657,126.956403,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
"마포-방범-0006",01,99,백범로 37길,서울특별시 마포구 백범로 37길,서울특별시 마포구 신공덕동 38-2,37.543324,126.954539,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
"마포-방범-0007",01,99,마포대로11길 118,서울특별시 마포구 마포대로11길 118,서울특별시 마포구 염리동 128-7,37.549050,126.947884,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
"마포-방범-0008",01,99,숭문16나길 14,서울특별시 마포구 숭문16나길 14,서울특별시 마포구 염리동 10-5,37.555243,126.948262,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
"마포-방범-0009",01,99,새창로6길 24,서울특별시 마포구 새창로6길 24,서울특별시 마포구 도화동 1-110,37.541027,126.952523,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
"마포-방범-0010",01,99,대흥로8길 27,서울특별시 마포구 대흥로8길 27,서울특별시 마포구 대흥동 764-4,37.543962,126.940170,03,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
