"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,02,02,안산 공원관리사무소,서울특별시 서대문구 연희동167-10,서울특별시 서대문구 서울특별시 서대문구 연희동167-10167-10,37.571987,126.932812,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
2,02,02,안산 만남의광장,서울특별시 서대문구 연희동산 2-37,서울특별시 서대문구 서울특별시 서대문구 연희동산 2-37산 2-37,37.571987,126.932812,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
3,02,02,안산 연세배드민턴장,서울특별시 서대문구 연희동산 2-17,서울특별시 서대문구 서울특별시 서대문구 연희동산 2-17산 2-17,37.571987,126.932812,03,Y,N,N,,2018,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
4,02,02,안산 메타세콰이어길,서울특별시 서대문구 연희동산 2-14,서울특별시 서대문구 서울특별시 서대문구 연희동산 2-14산 2-14,37.571987,126.932812,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
5,02,02,안산 북카페쉼터,서울특별시 서대문구 홍제동산 33-88,서울특별시 서대문구 서울특별시 서대문구 홍제동산 33-88산 33-88,37.587080,126.948935,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
6,02,02,안산 뜨란채,서울특별시 서대문구 현저동107-508,서울특별시 서대문구 서울특별시 서대문구 현저동107-508107-508,37.573772,126.954035,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
7,02,02,안산 무악정,서울특별시 서대문구 연희동산 2-15,서울특별시 서대문구 서울특별시 서대문구 연희동산 2-15산 2-15,37.571987,126.932812,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
8,02,02,안산 능안정 전망대,서울특별시 서대문구 현저동산 12-17,서울특별시 서대문구 서울특별시 서대문구 현저동산 12-17산 12-17,37.573772,126.954035,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
9,02,02,안산 너와집 쉼터,서울특별시 서대문구 홍제동322-95,서울특별시 서대문구 서울특별시 서대문구 홍제동322-95322-95,37.587080,126.948935,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
10,02,02,안산 복수천약수터,서울특별시 서대문구 북아현동1-818,서울특별시 서대문구 서울특별시 서대문구 북아현동1-8181-818,37.562431,126.954397,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
11,02,02,안산 고은산놀이터,서울특별시 서대문구 홍제동312-185,서울특별시 서대문구 서울특별시 서대문구 홍제동312-185312-185,37.587080,126.948935,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
12,02,02,인왕산 쌈지마당,서울특별시 서대문구 홍제동산 1-1,서울특별시 서대문구 서울특별시 서대문구 홍제동산 1-1산 1-1,37.587080,126.948935,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
13,02,02,인왕산 무궁화동산,서울특별시 서대문구 홍제동산 1-52,서울특별시 서대문구 서울특별시 서대문구 홍제동산 1-52산 1-52,37.587080,126.948935,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
14,02,02,인왕산 풋살장,서울특별시 서대문구 홍제동40-29,서울특별시 서대문구 서울특별시 서대문구 홍제동40-2940-29,37.587080,126.948935,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
15,02,02,북한산 호박골사랑방,서울특별시 서대문구 홍은동10-211,서울특별시 서대문구 서울특별시 서대문구 홍은동10-21110-211,37.593024,126.938558,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
16,02,02,북한산 삼하운수 종점,서울특별시 서대문구 홍은동8-669,서울특별시 서대문구 서울특별시 서대문구 홍은동8-6698-669,37.593024,126.938558,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
17,02,02,북한산 홍록배드민턴장,서울특별시 서대문구 홍은동산 1-88,서울특별시 서대문구 서울특별시 서대문구 홍은동산 1-88산 1-88,37.593024,126.938558,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
18,02,02,북한산 홍은한마당,서울특별시 서대문구 홍은동14-22,서울특별시 서대문구 서울특별시 서대문구 홍은동14-2214-22,37.593024,126.938558,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
19,02,02,북한산 돌산축구장,서울특별시 서대문구 홍은동10-305,서울특별시 서대문구 서울특별시 서대문구 홍은동10-30510-305,37.593024,126.938558,03,Y,N,N,,2018,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
20,02,02,북한산 자락길 입구,서울특별시 서대문구 홍은동산 1-546,서울특별시 서대문구 서울특별시 서대문구 홍은동산 1-546산 1-546,37.593024,126.938558,03,Y,N,N,,2017,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
21,02,02,백련근린공원 논골,서울특별시 서대문구 홍은동산 11-279,서울특별시 서대문구 서울특별시 서대문구 홍은동산 11-279산 11-279,37.593024,126.938558,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
22,02,02,백련근린공원 자연체험학습장,서울특별시 서대문구 홍은동198-8,서울특별시 서대문구 서울특별시 서대문구 홍은동198-8198-8,37.593024,126.938558,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
23,02,02,백련근린공원 정원단지,서울특별시 서대문구 홍은동265-147,서울특별시 서대문구 서울특별시 서대문구 홍은동265-147265-147,37.593024,126.938558,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
24,02,02,백련근린공원 백련배수지,서울특별시 서대문구 홍은동산 26-170,서울특별시 서대문구 서울특별시 서대문구 홍은동산 26-170산 26-170,37.593024,126.938558,03,Y,N,N,,2017,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
25,02,02,궁동근린공원,서울특별시 서대문구 연희동 산 118-1,서울특별시 서대문구 서울특별시 서대문구 연희동 산 118-1산 118-1,37.571987,126.932812,03,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2018-08-13
