"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"공원01-01",01,01,당골 어린이공원,서울특별시 서초구 효령로68길49-3,서울특별시 서초구 서초동 1436-6,37.4855370,127.0225000,03,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원02-01",01,01,용허리 근린공원,서울특별시 서초구 서초동 1324-1,서울특별시 서초구 서초동 1324-1,37.4941680,127.0229080,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원03-01",01,01,상명달어린이공원,서울특별시 서초구 서초3동 1488-4,서울특별시 서초구 서초3동 1488-4,37.4821860,127.0056390,03,N,N,N,CCTV,2013,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원03-02",01,01,하명달어린이공원,서울특별시 서초구 서초3동 1518-1,서울특별시 서초구 서초3동 1518-1,37.4858900,127.0054220,03,N,N,N,CCTV,2013,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원03-03",01,01,장안 어린이공원,서울특별시 서초구 서초대로46길19-18,서울특별시 서초구 서초동 1556-4,37.4916270,127.0114740,03,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원03-04",01,01,꽃마을 소공원1,서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,37.4906440,127.0070470,03,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원03-05",01,01,꽃마을 소공원1,서울특별시 서초구 서초3동 1500-8,서울특별시 서초구 서초3동 1500-8,37.4903040,127.0071010,03,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원03-06",01,01,꽃마을 소공원2,서울특별시 서초구 서초3동 1499-13,서울특별시 서초구 서초3동 1499-13,37.4908980,127.0055780,03,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원03-07",01,01,꽃마을 교통섬,서울특별시 서초구 서초3동 1498-1,서울특별시 서초구 서초3동 1498-1,37.4906240,127.0048110,03,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원03-08",01,01,꽃마을 교통섬,서울특별시 서초구 서초3동 1498-30,서울특별시 서초구 서초3동 1498-30,37.4902540,127.0048060,03,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원04-01",01,01,명달근린공원,서울특별시 서초구 서운로23길 17,서울특별시 서초구 서초4동1313-17,37.4983320,127.0212930,03,N,N,N,CCTV,2014,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원04-02",01,01,명달근린공원,서울특별시 서초구 서운로23길 17,서울특별시 서초구 서초4동1313-17,37.4988420,127.0212610,03,N,N,N,CCTV,2014,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원04-03",01,01,서초푸르지오 서밋,서울특별시 서초구 서운로 207,서울특별시 서초구 서초동 1311-7,37.5017910,127.0212990,03,N,N,N,CCTV,2017,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원05-01",01,01,신동근린공원,서울특별시 서초구 나루터로4길 39,서울특별시 서초구 잠원동58-14,37.5141530,127.0141110,03,N,N,N,CCTV,2014,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원05-02",01,01,신동근린공원,서울특별시 서초구 나루터로4길 39,서울특별시 서초구 잠원동58-14,37.5143980,127.0146760,03,N,N,N,CCTV,2014,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원05-03",01,01,코아어린이공원,서울특별시 서초구 신반포로23길 30,서울특별시 서초구 잠원동72-4,37.5090900,127.0040090,03,N,N,N,CCTV,2014,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원05-04",01,01,반원 어린이공원,서울특별시 서초구 신반포로23길48,서울특별시 서초구 잠원동 72-1,37.5093910,127.0032650,03,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원05-05",01,01,명주 근린공원,서울특별시 서초구 서울 서초구 잠원동 50-4,서울특별시 서초구 잠원동 50-4,37.5170160,127.0154220,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원05-06",01,01,주흥 어린이공원,서울특별시 서초구 서초구 잠원동 33-6,서울특별시 서초구  잠원동 33-6,37.5120390,127.0166540,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원05-07",01,01,싸리재 어린이공원,서울특별시 서초구 서초구 잠원동 30-10,서울특별시 서초구  잠원동 30-10,37.5132740,127.0183080,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원07-01",01,01,언구비어린이공원,서울특별시 서초구 반포1동720,서울특별시 서초구 반포1동720,37.5089300,127.0201310,03,N,N,N,CCTV,2013,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원07-03",01,01,고무래 어린이공원,서울특별시 서초구 서초구 반포동 30-4,서울특별시 서초구  반포동 30-4,37.5037710,127.0150700,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원08-01",01,01,파랑새어린이공원,서울특별시 서초구 신반포로15길 28,서울특별시 서초구 반포2동4-2,37.5052770,126.9954090,03,N,N,N,CCTV,2014,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원10-01",01,01,미도어린이공원,서울특별시 서초구 반포4동53-1,서울특별시 서초구 반포4동53-1,37.5017150,127.0107460,03,N,N,N,CCTV,2013,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원10-02",01,01,몽마르뜨 근린공원 1,서울특별시 서초구 서초구 반포동 산93,서울특별시 서초구  반포동 산93,37.4942020,127.0030450,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원10-03",01,01,몽마르뜨 근린공원 2,서울특별시 서초구 서초구 반포동 산93,서울특별시 서초구  반포동 산93,37.4950250,127.0027760,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원10-04",01,01,서래 어린이공원,서울특별시 서초구 서초구 반포동 71-6,서울특별시 서초구  반포동 71-6,37.4982750,127.0003420,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원10-05",01,01,청룡 어린이공원,서울특별시 서초구 서초구 반포4동 86-1,서울특별시 서초구  반포4동 86-1,37.4959290,126.9995210,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원11-01",01,01,새말 어린이공원,서울특별시 서초구 방배로37길27,서울특별시 서초구 방배본동 794-15,37.4932090,126.9886110,03,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원12-01",01,01,서리풀 어린이공원,서울특별시 서초구 방배동 906-14,서울특별시 서초구 방배동 906-14,37.4831580,126.9974620,03,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원13-01",01,01,까치어린이공원,서울특별시 서초구 방배중앙로7길 24,서울특별시 서초구 방배2동962-29,37.4837600,126.9902610,03,N,N,N,CCTV,2014,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원13-02",01,01,방배2-6어린이공원,서울특별시 서초구 방배천로18길 42,서울특별시 서초구 방배동 435-17,37.4827470,126.9851840,03,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원13-03",01,01,안산 어린이공원,서울특별시 서초구 효령로19길 8,서울특별시 서초구 방배동 979-35,37.4800780,126.9922690,03,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원13-04",01,01,청두 어린이공원,서울특별시 서초구 서초구 방배동 463-14,서울특별시 서초구  방배동 463-14,37.4806930,126.9849550,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원14-01",01,01,동덕어린이공원,서울특별시 서초구 남부순환로 297나길,서울특별시 서초구 방배3동 593-43,37.4755880,126.9936360,03,N,N,N,CCTV,2013,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원14-02",01,01,정문 어린이공원,서울특별시 서초구 효령로34길17,서울특별시 서초구 방배동 985-15,37.4811580,126.9995890,03,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원14-03",01,01,방현 어린이공원,서울특별시 서초구 서초구 방배동 537-50,서울특별시 서초구  방배동 537-50,37.4786000,126.9916190,03,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
"공원16-01",01,01,비석어린이공원,서울특별시 서초구 양재1동90-1,서울특별시 서초구 양재1동90-1,37.4787990,127.0410460,03,N,N,N,CCTV,2013,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
