"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
C0001,01,05,CCTV,서울특별시 성북구 정릉로10길 92,,37.6060115,126.9987234,03,N,N,N,,2006,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0002,01,05,CCTV,서울특별시 성북구 길음로 20,,37.6047095,127.0230189,03,N,N,N,,2007,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0003,01,05,CCTV,서울특별시 성북구 삼양로 61-1,,37.6084722,127.0229097,03,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0004,01,05,CCTV,서울특별시 성북구 숭인로16길 18,,37.6115773,127.0293579,03,N,N,N,,2011,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0005,01,05,CCTV,서울특별시 성북구 도봉로3길 24,,37.6105079,127.0287240,03,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0006,01,05,CCTV,서울특별시 성북구 삼선교로10바길 6-7,,37.5855057,127.0094906,03,N,N,N,,2016,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0007,01,05,CCTV,서울특별시 성북구 인촌로12길 17-25,,37.5856247,127.0234484,03,N,N,N,,2016,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0008,01,05,CCTV,서울특별시 성북구 정릉로40길 26,,37.6008958,127.0193690,03,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0009,01,05,CCTV,서울특별시 성북구 동소문로24길 31,,37.5922170,127.0189235,03,N,N,N,,2011,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0010,01,05,CCTV,서울특별시 성북구 보문로30라길 14,,37.5899521,127.0189634,03,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
