"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
5,01,05,풍납1동 124-5,서울특별시 송파구 바람드리길 2,서울특별시 송파구 풍납1동 124-5,37.538288,127.115963,03,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
6,01,05,풍납1동 133-19,서울특별시 송파구 바람드리12길 14-1,서울특별시 송파구 풍납1동 133-19,37.536698,127.118098,03,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
8,01,05,풍납1동 473-1,서울특별시 송파구 천호대로 996,서울특별시 송파구 풍납1동 473-1,37.538177,127.122626,03,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
10,01,05,풍납1동 490-7,서울특별시 송파구 올림픽로57길 2,서울특별시 송파구 풍납1동 490-7,37.534559,127.121416,03,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
12,01,05,풍납2동 389,서울특별시 송파구 강동대로 76,서울특별시 송파구 풍납2동 389,37.526222,127.115766,03,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
15,01,05,풍납2동 281-3,서울특별시 송파구 풍성로14길 46,서울특별시 송파구 풍납2동 281-3,37.532863,127.113641,03,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
16,01,05,풍납2동 292-1,서울특별시 송파구 풍성로4길 20,서울특별시 송파구 풍납2동 292-1,37.533814,127.112800,03,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
18,01,05,풍납2동 297-1,서울특별시 송파구 한가람로 410,서울특별시 송파구 풍납2동 297-1,37.534993,127.112154,03,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
20,01,05,풍납2동 389-2,서울특별시 송파구 올림픽로43길 20,서울특별시 송파구 풍납2동 389-2,37.524823,127.115447,03,N,N,N,CCTV,2005,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
22,01,05,풍납2동 396,서울특별시 송파구 강동대로3길 12,서울특별시 송파구 풍납2동 396,37.527979,127.114624,03,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
