"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"당산1-공원-01",01,99,가로변,"서울특별시 영등포구 당산로27길 12, 당산근린공원1","서울특별시 영등포구 당산로27길 12, 당산근린공원1",37.5251775,126.8951779,03,N,Y,N,경보음+CCTV,2011,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-공원-02",01,99,가로변,"서울특별시 영등포구 당산로27길 12, 당산근린공원2","서울특별시 영등포구 당산로27길 12, 당산근린공원2",37.5251775,126.8951347,03,N,Y,N,경보음+CCTV,2011,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-01",01,99,가로변,"서울특별시 영등포구 영등포로27길 16,사거리앞","서울특별시 영등포구 영등포로27길 16,사거리앞",37.52234824,126.8993837,03,N,Y,N,경보음+CCTV,2011,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-02",01,99,가로변,"서울특별시 영등포구 영등포로25길 23-19,삼거리 큰성당어린이집앞","서울특별시 영등포구 영등포로25길 23-19,삼거리 큰성당어린이집앞",37.5231053,126.897223,03,N,Y,N,경보음+CCTV,2010,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-03",01,99,가로변,"서울특별시 영등포구 영등포로 112,대우미래사랑3차APT 101동앞","서울특별시 영등포구 영등포로 112,대우미래사랑3차APT 101동앞",37.5209702,126.8936481,03,N,Y,N,경보음+CCTV,2010,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-04",01,99,가로변,"서울특별시 영등포구 영등포로19길 15,삼거리앞","서울특별시 영등포구 영등포로19길 15,삼거리앞",37.5232339,126.8929144,03,N,Y,N,경보음+CCTV,2010,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-05",01,99,가로변,"서울특별시 영등포구 국회대로28길 13,삼익APT 2동앞 사거리","서울특별시 영등포구 국회대로28길 13,삼익APT 2동앞 사거리",37.5275478007,126.8945732,03,N,Y,N,경보음+CCTV,2010,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-06",01,99,가로변,서울특별시 영등포구 당산로16길 4,서울특별시 영등포구 당산로16길 4,37.5224065,126.8964426,03,N,Y,N,경보음+CCTV,2013,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-07",01,99,가로변,"서울특별시 영등포구 영신로39길 16,삼거리앞","서울특별시 영등포구 영신로39길 16,삼거리앞",37.52175503,126.8994545,03,N,Y,N,경보음+CCTV,2013,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-08",01,99,가로변,서울특별시 영등포구 국회대로34길 5-3,서울특별시 영등포구 국회대로34길 5-3,37.5270014,126.8977597,03,N,Y,N,경보음+CCTV,2013,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-09",01,99,가로변,서울특별시 영등포구 영신로45길 9-2,서울특별시 영등포구 영신로45길 9-2,37.5226850,126.9004195,03,N,Y,N,경보음+CCTV,2010,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-10",01,99,가로변,"서울특별시 영등포구 영등포로 154,진로APT 101동~서영물류센터 사잇길","서울특별시 영등포구 영등포로 154,진로APT 101동~서영물류센터 사잇길",37.5203274,126.8980457,03,N,Y,N,경보음+CCTV,2010,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-11",01,99,가로변,"서울특별시 영등포구 영등포로30길 9,신동아패밀리에상가 근처","서울특별시 영등포구 영등포로30길 9,신동아패밀리에상가 근처",37.5197276,126.8999086,03,N,Y,N,경보음+CCTV,2010,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
"당산1-방범-12",01,99,가로변,"서울특별시 영등포구 영등포로 96,교보생명빌딩~대우APT 101동 사이 도로앞","서울특별시 영등포구 영등포로 96,교보생명빌딩~대우APT 101동 사이 도로앞",37.5211684,126.8920150,03,N,Y,N,경보음+CCTV,2010,2019-06-19,Y,서울특별시 영등포구청,02-2670-4068,2019-06-19
