"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,01,05,진관동 신도고 정문,서울특별시 은평구 통일로 961 신도고 정문 옆,서울특별시 은평구 진관동 248-26 신도고 정문 옆,37.6287500000,126.9191840000,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
2,01,05,진관동 롯데캐슬 초입,서울특별시 은평구 진관3로 70,서울특별시 은평구 진관동 23-24 앞 사거리,37.6418798,126.9222445,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
3,01,05,진관동 약수사 입구,,서울특별시 은평구 진관동 24-13 약수사 입구,37.6422680000,126.9242120000,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
4,01,05,진관동 진관고 입구,서울특별시 은평구 진관4로 26,서울특별시 은평구 진관동 24-24 진관고 후문앞,37.6433754,126.9244109,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
5,01,05,진관동 진관중 옆 유수지,,서울특별시 은평구 진관동 24-23 진관중 옆 유수지(정자),37.6432910000,126.9254730000,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
6,01,05,진관동 806동 옆,,서울특별시 은평구 진관동 29-2 806동 옆(유수지),37.6448180000,126.9240430000,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
7,01,05,진관동 714동 옆 사거리,서울특별시 은평구 진관4로 48-8,서울특별시 은평구 진관동 15 714동 옆 사거리,37.6440794,126.9269220,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
8,01,05,진관동 공원 관리소,,서울특별시 은평구 진관동 15-22 맞은편 공원 관리소(못자리골),37.6438750000,126.9290590000,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
9,01,05,진관동 못자리골 로타리,서울특별시 은평구 진관4로 48-50,서울특별시 은평구 진관동 18-18 못자리골 로타리,37.6419468,126.9293151,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
10,01,05,진관동 진관초 입구,서울특별시 은평구 진관4로 78-16,서울특별시 은평구 진관동 14-12 진관초 입구,37.6450510,126.9291301,03,N,N,N,CCTV,2010,2018-12-31,Y,은평구청 전산정보과,02-351-6383,2019-01-01
