"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"공002",01,01,손기정체육공원 생활정보관,서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,37.5556652,126.9645497,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공003",01,01,손기정체육공원 정문출입구,서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,37.5556652,126.9645497,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공004",01,01,손기정체육공원 후문출입구,서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,37.5556652,126.9645497,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공005",01,01,응봉근린공원 도로변 화장실,서울특별시 중구 매봉18길 79 (금호동2가),서울특별시 중구 약수동 333-771,37.55453400,127.01699000,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공006",01,01,순화공원 광장뒤,서울특별시 중구 칠패로 27 (순화동),서울특별시 중구 순화동 9-5,37.5601740,126.9720786,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공007",01,01,순화공원 펜스옆,서울특별시 중구 칠패로 27 (순화동),서울특별시 중구 순화동 9-5,37.5601740,126.9720786,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공008",01,01,응봉공원,서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 산55,37.55037800,127.01365300,01,Y,N,Y,,2017,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공009",01,01,응봉공원,서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 844-10,37.54879400,127.01039400,01,Y,N,Y,,2017,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공010",01,01,응봉공원,서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 351-104,37.54499500,127.00817000,01,Y,N,Y,,2017,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공011",01,01,정동근린공원,서울특별시 중구 정동길 21-8,서울특별시 중구 정동 15-1,37.5676277,126.9714985,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공012",01,01,정동근린공원,서울특별시 중구 정동길 21-8,서울특별시 중구 정동 15-1,37.5676277,126.9714985,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공013",01,01,의주로소공원,서울특별시 중구 통일로 102 옆,서울특별시 중구 의주로1가 44-2,37.56395500,126.96867900,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공014",01,01,한빛미디어파크,서울특별시 중구 남대문로10길 29 옆,서울특별시 중구 삼각동 118,37.56821300,126.98487700,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공015",01,01,다동소공원,서울특별시 중구 을지로 3길 49,서울특별시 중구 다동 51-2,37.56816300,126.9807488,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공016",01,01,다동소공원,서울특별시 중구 을지로 3길 49,서울특별시 중구 다동 51-2,37.5681359,126.9807488,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공017",01,01,쌍림어린이공원,서울특별시 중구 퇴계로 303-9 옆,서울특별시 중구 광희동 1가 238,37.56428700,127.00500300,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공018",01,01,묵정어린이공원,서울특별시 중구 퇴계로 45길 32-12,서울특별시 중구 충무로5가 21,37.5636449,126.9997887,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공019",01,01,묵정어린이공원,서울특별시 중구 퇴계로 45길 32-12,서울특별시 중구 충무로5가 21,37.5636449,126.9997887,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공020",01,01,인현어린이공원,서울특별시 중구 마른내로 81,서울특별시 중구 인현동2가 142-2,37.5644787,126.9964293,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공021",01,01,충현어린이공원,서울특별시 중구 동호로 11차길 1 옆,서울특별시 중구 다산동 432-517,37.55209900,127.00508100,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공022",01,01,충현어린이공원,서울특별시 중구 동호로 11차길 1 옆,서울특별시 중구 다산동 432-517,37.55216500,127.00488300,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공023",01,01,늘푸른어린이공원,서울특별시 중구 동호로 11자길 19 옆,서울특별시 중구 다산동 432-1971,37.55116200,127.00573200,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공024",01,01,약수어린이공원,서울특별시 중구 다산로14길 47,서울특별시 중구 청구동 340-15,37.5557874,127.0135488,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공025",01,01,약수어린이공원,서울특별시 중구 다산로14길 47,서울특별시 중구 청구동 340-15,37.5557874,127.0135488,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공026",01,01,무학봉근린공원,서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,37.5622347,127.02452200,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공027",01,01,무학봉근린공원,서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,37.5622347,127.0245439,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공028",01,01,무학봉근린공원,서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,37.5622347,127.0245439,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공029",01,01,다산어린이공원,서울특별시 중구 다산로42나길 12 앞,서울특별시 중구 다산동 122-10,37.56366200,127.01842400,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공030",01,01,다산어린이공원,서울특별시 중구 다산로42나길 12 앞,서울특별시 중구 다산동 122-10,37.56389400,127.01892200,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공031",01,01,신당동마을마당,서울특별시 중구 다산로33가길 17 앞,서울특별시 중구 신당동 241-26,37.5631015,127.01427600,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공032",01,01,약수동마을마당,서울특별시 중구 동호로 8나길 15,서울특별시 중구 약수동 349-214,37.5527536496,127.0129692,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공033",01,01,청구동마을마당,서울특별시 중구 다산로 24길 23 맞은편,서울특별시 중구 청구동 333-370,37.55612900,127.01635800,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공034",01,01,청구동마을마당,서울특별시 중구 다산로 24길 23 맞은편,서울특별시 중구 청구동 333-370,37.55585900,127.01629400,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공035",01,01,필동마을마당,서울특별시 중구 퇴계로 36가길 60 앞,서울특별시 중구 필동 2가 111-2,37.55782300,126.99539400,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공036",01,01,충현마을마당,서울특별시 중구 동호로11차길 1 옆,서울특별시 중구 다산동 432-813,37.55257900,127.00579700,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공037",01,01,다산동마을마당,서울특별시 중구 동호로 15길 60 옆,서울특별시 중구 다산동 432-1584,37.55427900,127.00859300,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공038",01,01,충정녹지대,서울특별시 중구 서소문로2길 46 위,서울특별시 중구 중림동 1046,37.55719100,126.96324900,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
"공039",01,01,응봉삼성공원,서울특별시 중구 다산로24길 77 옆,서울특별시 중구 동화동 843-2,37.55757200,127.01700500,01,Y,N,Y,,2016,2019-01-21,Y,중구청,02-3396-5855,2019-01-26
