"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
C-JH01-0001,01,05,가로변,서울특별시 중랑구 봉화산로27길 42,서울특별시 중랑구 중화1동 21-9,37.615727,127.091335,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0002,01,05,가로변,서울특별시 중랑구 봉화산로30길 19,서울특별시 중랑구 중화1동 126,37.597317,127.094009,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0007,01,05,가로변,서울특별시 중랑구 상봉중앙로9길 20,서울특별시 중랑구 중화1동 9-3,37.582134,127.090530,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0008,01,05,가로변,서울특별시 중랑구 동일로140길 16,서울특별시 중랑구 중화1동 281-1,37.576611,127.087830,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0009,01,05,가로변,서울특별시 중랑구 봉화산로26길 28,서울특별시 중랑구 중화1동 148-48,37.618210,127.087166,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0010,01,05,가로변,서울특별시 중랑구 동일로126길 18,서울특별시 중랑구 중화1동 295-41,37.579849,127.086243,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0011,01,05,가로변,서울특별시 중랑구 동일로138길 19-14 중화리공원,서울특별시 중랑구 중화1동 280-16,37.613846,127.098442,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0012,01,05,가로변,서울특별시 중랑구 봉화산로24길 9-8,서울특별시 중랑구 중화1동 148,37.602737,127.083489,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0013,01,05,가로변,서울특별시 중랑구 동일로138길 10,서울특별시 중랑구 중화1동 285-9,37.618507,127.086289,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0014,01,05,가로변,서울특별시 중랑구 봉화산로21길 15,서울특별시 중랑구 중화1동 86-9,37.616543,127.093620,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0015,01,05,가로변,서울특별시 중랑구 봉화산로26길 62,서울특별시 중랑구 중화1동 178-97,37.591614,127.100197,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0016,01,05,가로변,서울특별시 중랑구 동일로144가길 25-20,서울특별시 중랑구 중화1동 274-49,37.579471,127.095023,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0017,01,05,가로변,서울특별시 중랑구 봉화산로35길 22,서울특별시 중랑구 중화1동 445-1,37.590935,127.103979,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0018,01,05,가로변,서울특별시 중랑구 동일로124길 48,서울특별시 중랑구 중화1동 200-3,37.599716,127.081810,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0019,01,05,가로변,서울특별시 중랑구 동일로130길 32,서울특별시 중랑구 중화1동 291-37,37.617447,127.078255,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0020,01,05,가로변,서울특별시 중랑구 동일로144가길 28-23,서울특별시 중랑구 중화1동 275-8,37.620441,127.106247,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0021,01,05,가로변,서울특별시 중랑구 동일로140길 88,서울특별시 중랑구 중화1동 42,37.582150,127.090477,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0022,01,05,가로변,서울특별시 중랑구 봉화산로27가길 3,서울특별시 중랑구 중화1동 13-1,37.576275,127.085342,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0023,01,05,가로변,서울특별시 중랑구 상봉중앙로5가길 본동어린이공원,서울특별시 중랑구 중화1동 131-20,37.607964,127.080994,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0024,01,05,가로변,서울특별시 중랑구 동일로138길 27,서울특별시 중랑구 중화1동 277-1,37.604456,127.108543,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0025,01,05,가로변,서울특별시 중랑구 동일로130길 52,서울특별시 중랑구 중화1동 148-126,37.600262,127.082916,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0026,01,05,가로변,서울특별시 중랑구 상봉중앙로5길 44,서울특별시 중랑구 중화1동 135-10,37.591923,127.089638,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0027,01,05,가로변,서울특별시 중랑구 봉화산로21길 28,서울특별시 중랑구 중화1동 29-10,37.585186,127.096039,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0028,01,05,가로변,서울특별시 중랑구  봉화산로19길 5,서울특별시 중랑구 중화1동 103-5,37.581688,127.090447,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0029,01,05,가로변,서울특별시 중랑구 봉화산로24길 10,서울특별시 중랑구 중화1동 145-1,37.601009,127.078964,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0030,01,05,가로변,서울특별시 중랑구  동일로140길 19-12,서울특별시 중랑구 중화1동 279-22,37.605389,127.073433,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0031,01,05,가로변,서울특별시 중랑구 봉화산로30길 7,서울특별시 중랑구 중화1동 122-7,37.593754,127.094102,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0032,01,05,가로변,서울특별시 중랑구 동일로124길 11,서울특별시 중랑구 중화1동 295-18,37.586128,127.093971,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0033,01,05,가로변,서울특별시 중랑구 동일로136가길 28,서울특별시 중랑구 중화1동 33-2,37.614800,127.072983,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0034,01,05,가로변,서울특별시 중랑구 봉화산로30길 62,서울특별시 중랑구 중화1동 154-5,37.586540,127.082161,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0035,01,05,가로변,서울특별시 중랑구 봉화산로30길 62,서울특별시 중랑구 중화1동 산 9-17,37.590553,127.083290,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0036,01,05,가로변,서울특별시 중랑구 동일로124길74,서울특별시 중랑구 중화1동 291-43,37.576916,127.081291,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0037,01,05,가로변,서울특별시 중랑구 동일로144가길 28,서울특별시 중랑구 중화1동 275-16,37.594349,127.074089,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
C-JH01-0038,01,05,가로변,서울특별시 중랑구 봉화산로27가길 27,서울특별시 중랑구 중화1동 11-82,37.593361,127.081001,02,N,N,N,경보음+CCTV,2018,2018-03-30,Y,서울특별시 중랑구청,02-2094-0594,2018-09-28
