"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3170000","102","1999","06149","유흥주점영업","19991204","던힐노래바","서울특별시 금천구 가산로 148 지상2층 (가산동)","서울특별시 금천구 가산동  141번지 8호  지상2층 (구로동길 265)","55.61","010*******","20180604","","19991204","가산동","","","","룸살롱","2","2","0","0","3","","비대상","상수도전용","지상","0","0","","","","","","","0.00","43.20","0.00","0.00","0.00","6.20","2.21","10.20","0.00","0.00","","","3170000-102-1999-06149","","","","","","내국인","대한민국"
"3170000","102","1999","06149","유흥주점영업","19991204","여자친구노래바","서울특별시 금천구 가산로 148 지상2층 (가산동)","서울특별시 금천구 가산동  141번지 8호  지상2층 (구로동길 265)","55.61","010*******","20180604","","19991204","가산동","","","","룸살롱","2","2","0","0","3","","비대상","상수도전용","지상","0","0","","","","","","","0.00","43.20","0.00","0.00","0.00","6.20","2.21","10.20","0.00","0.00","","","3170000-102-1999-06149","","","","","","내국인","대한민국"
"3170000","102","1999","06149","유흥주점영업","19991204","던힐노래바","서울특별시 금천구 가산로 148 지상2층 (가산동)","서울특별시 금천구 가산동  141번지 8호  지상2층 (구로동길 265)","55.61","010*******","20170217","","19991204","가산동","","","","룸살롱","2","2","0","0","3","","비대상","상수도전용","지상","0","0","","","","","","","0.00","43.20","0.00","0.00","0.00","6.20","2.21","10.20","0.00","0.00","","","3170000-102-1999-06149","","","","","","내국인","대한민국"
"3170000","102","1999","06149","유흥주점영업","19991204","여자친구노래바","서울특별시 금천구 가산로 148 지상2층 (가산동)","서울특별시 금천구 가산동  141번지 8호  지상2층 (구로동길 265)","55.61","010*******","20170217","","19991204","가산동","","","","룸살롱","2","2","0","0","3","","비대상","상수도전용","지상","0","0","","","","","","","0.00","43.20","0.00","0.00","0.00","6.20","2.21","10.20","0.00","0.00","","","3170000-102-1999-06149","","","","","","내국인","대한민국"
"3170000","102","2000","06232","유흥주점영업","20000211","파레스","서울특별시 금천구 디지털로 206 지하1층 (가산동)","서울특별시 금천구 가산동  140번지 29호  지하1층","98.02","  02 8614409  ","20181219","","20000211","가산동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","1.44","51.21","0.00","8.12","1.76","0.00","10.78","24.71","","","","","3170000-102-2000-06232","","","","","","내국인","대한민국"
"3170000","102","2000","06232","유흥주점영업","20000211","빨대","서울특별시 금천구 디지털로 206 지하1층 (가산동)","서울특별시 금천구 가산동  140번지 29호  지하1층","98.02","  02 8614409  ","20181219","","20000211","가산동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","1.44","51.21","0.00","8.12","1.76","0.00","10.78","24.71","","","","","3170000-102-2000-06232","","","","","","내국인","대한민국"
"3170000","102","2000","06232","유흥주점영업","20000211","파레스","서울특별시 금천구 디지털로 206 지하1층 (가산동)","서울특별시 금천구 가산동  140번지 29호  지하1층","98.02","  02 8614409  ","20180523","","20000211","가산동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","1.44","51.21","0.00","8.12","1.76","0.00","10.78","24.71","","","","","3170000-102-2000-06232","","","","","","내국인","대한민국"
"3170000","102","2000","06232","유흥주점영업","20000211","빨대","서울특별시 금천구 디지털로 206 지하1층 (가산동)","서울특별시 금천구 가산동  140번지 29호  지하1층","98.02","  02 8614409  ","20180523","","20000211","가산동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","1.44","51.21","0.00","8.12","1.76","0.00","10.78","24.71","","","","","3170000-102-2000-06232","","","","","","내국인","대한민국"
"3170000","102","2000","06232","유흥주점영업","20000211","파레스","서울특별시 금천구 디지털로 206 지하1층 (가산동)","서울특별시 금천구 가산동  140번지 29호  지하1층","98.02","  02 8614409  ","20180223","","20000211","가산동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","1.44","51.21","0.00","8.12","1.76","0.00","10.78","24.71","","","","","3170000-102-2000-06232","","","","","","내국인","대한민국"
"3170000","102","2000","06232","유흥주점영업","20000211","빨대","서울특별시 금천구 디지털로 206 지하1층 (가산동)","서울특별시 금천구 가산동  140번지 29호  지하1층","98.02","  02 8614409  ","20180223","","20000211","가산동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","1.44","51.21","0.00","8.12","1.76","0.00","10.78","24.71","","","","","3170000-102-2000-06232","","","","","","내국인","대한민국"
