"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3050000","102","1969","08470","유흥주점영업","19690502","갤럭시","서울특별시 동대문구 한빛로 6-1 2층 (신설동)","서울특별시 동대문구 신설동  76번지 25호  2층","226.81","02   9279692  ","20141204","","20160719","용신동","","","","룸살롱","","","","","","","비대상","","지상","","","","","","","","","12.00","193.25","0.00","0.00","17.42","0.00","4.14","0.00","","","","","3050000-102-1969-08470","","","","","","내국인","대한민국"
"3050000","102","1984","08495","유흥주점영업","19840924","올챙이주점","서울특별시 동대문구 왕산로 11 지하1층 (신설동)","서울특별시 동대문구 신설동  76번지 35호  ","87.78","  02 9262607  ","20180109","","19980629","용신동","","","","룸살롱","0","0","1","1","4","","비대상","상수도전용","지하","0","0","","","","","","","9.36","33.54","0.00","0.00","0.00","8.00","0.00","44.88","0.00","0.00","","","3050000-102-1984-08495","","","","","","내국인","대한민국"
"3050000","102","1984","08495","유흥주점영업","19840924","닭대가리주점","서울특별시 동대문구 왕산로 11 지하1층 (신설동)","서울특별시 동대문구 신설동  76번지 35호  ","87.78","  02 9262607  ","20180109","","19980629","용신동","","","","룸살롱","0","0","1","1","4","","비대상","상수도전용","지하","0","0","","","","","","","9.36","33.54","0.00","0.00","0.00","8.00","0.00","44.88","0.00","0.00","","","3050000-102-1984-08495","","","","","","내국인","대한민국"
"3050000","102","1984","08495","유흥주점영업","19840924","올챙이주점","서울특별시 동대문구 왕산로 11 지하1층 (신설동)","서울특별시 동대문구 신설동  76번지 35호  ","87.78","  02 9262607  ","20150907","","19980629","용신동","","","","룸살롱","0","0","1","1","4","","비대상","상수도전용","지하","0","0","","","","","","","9.36","33.54","0.00","0.00","0.00","8.00","0.00","44.88","0.00","0.00","","","3050000-102-1984-08495","","","","","","내국인","대한민국"
"3050000","102","1984","08495","유흥주점영업","19840924","닭대가리주점","서울특별시 동대문구 왕산로 11 지하1층 (신설동)","서울특별시 동대문구 신설동  76번지 35호  ","87.78","  02 9262607  ","20150907","","19980629","용신동","","","","룸살롱","0","0","1","1","4","","비대상","상수도전용","지하","0","0","","","","","","","9.36","33.54","0.00","0.00","0.00","8.00","0.00","44.88","0.00","0.00","","","3050000-102-1984-08495","","","","","","내국인","대한민국"
"3050000","102","2016","00002","유흥주점영업","20160719","뉴은하수","서울특별시 동대문구 한빛로 6-1 3층 (신설동)","서울특별시 동대문구 신설동  76번지 25호  3층","","010*******","20160719","","20160719","용신동","","","","룸살롱","3","3","","","4","","비대상","상수도전용","지상","2","10","","","","","","","","226.81","","","","","","","","","","","3050000-102-2016-00002","","","","","","내국인","대한민국"
"3050000","102","1982","08472","유흥주점영업","19820531","케이지에스뉴페이스크럽","서울특별시 동대문구 천호대로 313 지하1층 (답십리동)","서울특별시 동대문구 답십리동  492번지 1호  ","365.55","  0222445353  ","20170524","","19981009","답십리제2동","20180611","자진폐업","사업부진","룸살롱","5","5","1","1","5","","비대상","상수도전용","지하","3","1","","","","","","","20.00","258.80","0.00","73.10","13.65","0.00","0.00","0.00","","","","","3050000-102-1982-08472","","","","","","내국인","대한민국"
"3050000","102","2003","00001","유흥주점영업","20030106","로또","서울특별시 동대문구 천호대로 269 (답십리동)","서울특별시 동대문구 답십리동  496번지 17호  ","89.60","  0222121060  ","20111005","","20030106","답십리제2동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","89.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","3050000-102-2003-00001","","","","","","내국인","대한민국"
"3050000","102","2009","00003","유흥주점영업","20091127","메들리","서울특별시 동대문구 천호대로 343 지하1층 (답십리동)","서울특별시 동대문구 답십리동  952번지 18호  ","","02  22423464  ","20131014","","20091127","답십리제2동","","","","카바레","","","1","1","","","비대상","","지하","","","","","","","","","15.96","27.43","","","","","","217.50","","","","","3050000-102-2009-00003","","","","","","내국인","대한민국"
"3050000","102","1977","08506","유흥주점영업","19770513","앵콜","서울특별시 동대문구 천호대로 225 (답십리동(천호대로 59))","서울특별시 동대문구 답십리동  465번지 39호  (천호대로 59)","91.80","  0222446231  ","20050614","","19981219","답십리제1동","","","","룸살롱","0","0","1","1","2","","비대상","상수도전용","지하","2","2","","","","","","","9.00","45.89","0.00","0.00","0.00","18.00","0.00","36.91","0.00","0.00","","","3050000-102-1977-08506","","","","","","내국인",""
