"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3210000","102","1978","06388","유흥주점영업","19780609","조이","서울특별시 서초구 방배로 170 (방배동(지하1층))","서울특별시 서초구 방배동  875번지 1호  (지하1층)","41.61","  02 5320023  ","20181126","","19990729","방배제4동","","","","룸살롱","","","","","","","비대상","","","","","","","","","","","5.01","15.65","0.00","0.00","0.00","6.00","1.67","19.28","0.00","0.00","","","3210000-102-1978-06388","","","","","","내국인","대한민국"
"3210000","102","1978","06388","유흥주점영업","19780609","놀이터","서울특별시 서초구 방배로 170 (방배동(지하1층))","서울특별시 서초구 방배동  875번지 1호  (지하1층)","41.61","  02 5320023  ","20181126","","19990729","방배제4동","","","","룸살롱","","","","","","","비대상","","","","","","","","","","","5.01","15.65","0.00","0.00","0.00","6.00","1.67","19.28","0.00","0.00","","","3210000-102-1978-06388","","","","","","내국인","대한민국"
"3210000","102","1978","06388","유흥주점영업","19780609","조이","서울특별시 서초구 방배로 170 (방배동(지하1층))","서울특별시 서초구 방배동  875번지 1호  (지하1층)","41.61","  02 5320023  ","20180419","","19990729","방배제4동","","","","룸살롱","","","","","","","비대상","","","","","","","","","","","5.01","15.65","0.00","0.00","0.00","6.00","1.67","19.28","0.00","0.00","","","3210000-102-1978-06388","","","","","","내국인","대한민국"
"3210000","102","1978","06388","유흥주점영업","19780609","놀이터","서울특별시 서초구 방배로 170 (방배동(지하1층))","서울특별시 서초구 방배동  875번지 1호  (지하1층)","41.61","  02 5320023  ","20180419","","19990729","방배제4동","","","","룸살롱","","","","","","","비대상","","","","","","","","","","","5.01","15.65","0.00","0.00","0.00","6.00","1.67","19.28","0.00","0.00","","","3210000-102-1978-06388","","","","","","내국인","대한민국"
"3210000","102","1978","06388","유흥주점영업","19780609","조이","서울특별시 서초구 방배로 170 (방배동(지하1층))","서울특별시 서초구 방배동  875번지 1호  (지하1층)","41.61","  02 5320023  ","20170913","","19990729","방배제4동","","","","룸살롱","","","","","","","비대상","","","","","","","","","","","5.01","15.65","0.00","0.00","0.00","6.00","1.67","19.28","0.00","0.00","","","3210000-102-1978-06388","","","","","","내국인","대한민국"
"3210000","102","1978","06388","유흥주점영업","19780609","놀이터","서울특별시 서초구 방배로 170 (방배동(지하1층))","서울특별시 서초구 방배동  875번지 1호  (지하1층)","41.61","  02 5320023  ","20170913","","19990729","방배제4동","","","","룸살롱","","","","","","","비대상","","","","","","","","","","","5.01","15.65","0.00","0.00","0.00","6.00","1.67","19.28","0.00","0.00","","","3210000-102-1978-06388","","","","","","내국인","대한민국"
"3210000","102","1978","06389","유흥주점영업","19781017","하와이","서울특별시 서초구 방배로 200 (방배동)","서울특별시 서초구 방배동  811번지 16호  ","56.72","  02 5994940  ","20190603","","20010810","방배제4동","","","","룸살롱","0","0","0","0","0","","비대상","상수도전용","","0","0","","","","","","","8.32","21.12","0.00","0.00","0.00","0.00","6.00","21.28","0.00","0.00","","","3210000-102-1978-06389","","","","","","내국인","대한민국"
"3210000","102","1978","06389","유흥주점영업","19781017","샤넬","서울특별시 서초구 방배로 200 (방배동)","서울특별시 서초구 방배동  811번지 16호  ","56.72","  02 5994940  ","20190603","","20010810","방배제4동","","","","룸살롱","0","0","0","0","0","","비대상","상수도전용","","0","0","","","","","","","8.32","21.12","0.00","0.00","0.00","0.00","6.00","21.28","0.00","0.00","","","3210000-102-1978-06389","","","","","","내국인","대한민국"
"3210000","102","1978","06389","유흥주점영업","19781017","하와이","서울특별시 서초구 방배로 200 (방배동)","서울특별시 서초구 방배동  811번지 16호  ","56.72","  02 5994940  ","20170925","","20010810","방배제4동","","","","룸살롱","0","0","0","0","0","","비대상","상수도전용","","0","0","","","","","","","8.32","21.12","0.00","0.00","0.00","0.00","6.00","21.28","0.00","0.00","","","3210000-102-1978-06389","","","","","","내국인","대한민국"
"3210000","102","1978","06389","유흥주점영업","19781017","샤넬","서울특별시 서초구 방배로 200 (방배동)","서울특별시 서초구 방배동  811번지 16호  ","56.72","  02 5994940  ","20170925","","20010810","방배제4동","","","","룸살롱","0","0","0","0","0","","비대상","상수도전용","","0","0","","","","","","","8.32","21.12","0.00","0.00","0.00","0.00","6.00","21.28","0.00","0.00","","","3210000-102-1978-06389","","","","","","내국인","대한민국"
