"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3030000","102","1981","01096","유흥주점영업","19811020","월드컵노래주점","서울특별시 성동구 고산자로 293 (홍익동)","서울특별시 성동구 홍익동  125번지  ","","  0222990936  ","20020204","","19811020","왕십리도선동","","","","스텐드바","","","","","","","비대상","","지하","","","","","","","","","14.35","","","","","6.20","9.84","122.03","","","","","3030000-102-1981-01096","","","","","건강진단 미 실시(2014.12.18.)","내국인","대한민국"
"3030000","102","2000","06428","유흥주점영업","20000523","화이트","서울특별시 성동구 천호대로 432 지1층 104호 (용답동 금풍빌딩)","서울특별시 성동구 용답동  235번지 2호  금풍빌딩 지1층104호","154.67","  0222495510  ","20170919","","20000523","용답동","","","","룸살롱","","","1","1","","","비대상","상수도전용","지하","","","","","","","","","4.57","100.20","0.00","40.20","0.00","0.00","9.70","0.00","","","","","3030000-102-2000-06428","","","","","","내국인","대한민국"
"3030000","102","2001","06858","유흥주점영업","20010524","발렌타인","서울특별시 성동구 천호대로 426 지층 (용답동 233-6)","서울특별시 성동구 용답동  233번지 6호  ","","  0222425586  ","20151228","","20010524","용답동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","13.20","21.36","","","","13.30","","29.64","","","","","3030000-102-2001-06858","","","","","","내국인","대한민국"
"3030000","102","1979","01125","유흥주점영업","19790703","맨하탄","서울특별시 성동구 고산자로 349 (마장동)","서울특별시 성동구 마장동  474번지 1호  ","","  0222997597  ","20150320","","19790703","마장동","","","","룸살롱","0","0","1","1","3","","비대상","상수도전용","지하","1","3","","","","","","","7.75","75.01","","8.32","","5.00","7.75","28.79","","","","","3030000-102-1979-01125","","","","","","내국인","대한민국"
"3030000","102","1980","01098","유흥주점영업","19800927","쎄븐","서울특별시 성동구 광나루로 315 (송정동)","서울특별시 성동구 송정동  66번지 259호  ","","000204974428  ","20130319","","19800927","송정동","","","","비어(바)살롱","","","","","","","비대상","","지하","","","","","","","","","7.89","","","","","2.50","","114.23","","","","","3030000-102-1980-01098","","","","","종사자명부 미기재(2012.04.12.)","내국인","대한민국"
"3030000","102","1980","01100","유흥주점영업","19800411","박하사탕","서울특별시 성동구 광나루로 323 (송정동)","서울특별시 성동구 송정동  66번지 196호  ","","  02 4614090  ","20180618","","19800411","송정동","20180509","기타","폐업신고 미이행 직권말소","룸살롱","0","0","1","1","5","","비대상","상수도전용","지하","0","0","","","","","","","7.77","93.82","","43.56","","6.00","11.70","","","","","","3030000-102-1980-01100","","","","","","내국인","대한민국"
"3030000","102","1980","01100","유흥주점영업","19800411","빵빵","서울특별시 성동구 광나루로 323 (송정동)","서울특별시 성동구 송정동  66번지 196호  ","","  02 4614090  ","20180618","","19800411","송정동","20180509","기타","폐업신고 미이행 직권말소","룸살롱","0","0","1","1","5","","비대상","상수도전용","지하","0","0","","","","","","","7.77","93.82","","43.56","","6.00","11.70","","","","","","3030000-102-1980-01100","","","","","","내국인","대한민국"
"3030000","102","1980","01100","유흥주점영업","19800411","박하사탕","서울특별시 성동구 광나루로 323 (송정동)","서울특별시 성동구 송정동  66번지 196호  ","","  02 4614090  ","20150528","","19800411","송정동","20180509","기타","폐업신고 미이행 직권말소","룸살롱","0","0","1","1","5","","비대상","상수도전용","지하","0","0","","","","","","","7.77","93.82","","43.56","","6.00","11.70","","","","","","3030000-102-1980-01100","","","","","","내국인","대한민국"
"3030000","102","1980","01100","유흥주점영업","19800411","빵빵","서울특별시 성동구 광나루로 323 (송정동)","서울특별시 성동구 송정동  66번지 196호  ","","  02 4614090  ","20150528","","19800411","송정동","20180509","기타","폐업신고 미이행 직권말소","룸살롱","0","0","1","1","5","","비대상","상수도전용","지하","0","0","","","","","","","7.77","93.82","","43.56","","6.00","11.70","","","","","","3030000-102-1980-01100","","","","","","내국인","대한민국"
"3030000","102","1977","01097","유흥주점영업","19770504","가요무대","서울특별시 성동구 왕십리로 291-2 (행당동)","서울특별시 성동구 행당동  267번지 17호  ","","  0222928051  ","20170530","","19770504","사근동","","","","비어(바)살롱","0","0","1","1","3","","비대상","상수도전용","지하","1","2","","","","","","","7.52","","","3.51","","5.00","9.71","79.80","","","","","3030000-102-1977-01097","","","","","","내국인","대한민국"
