"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3230000","102","1980","03603","유흥주점영업","19800304","티파니","서울특별시 송파구 올림픽로 607 (풍납동)","서울특별시 송파구 풍납동  481번지 1호  ","134.64","  02 4853235  ","20080926","","19950411","풍납1동","","","","룸살롱","0","0","0","0","0","20090408","비대상","상수도전용","지하","0","0","","","","","","","8.14","74.46","0.00","6.56","1.42","0.00","10.05","34.01","","","","","3230000-102-1980-03603","","","","","","내국인","대한민국"
"3230000","102","2002","17711","유흥주점영업","20021212","퍼스트","서울특별시 송파구 석촌호수로 216 (석촌동 지하23층)","서울특별시 송파구 석촌동  158번지  지하23층","1763.33","02  413 4783  ","20150826","","20151127","석촌동","","","","관광호텔나이트(디스코)","","","2","3","","","비대상","상수도전용","지하","","","","","","","","","70.00","410.20","0.00","729.93","0.00","0.00","0.00","553.20","","","","","3230000-102-2002-17711","","","","","","내국인","대한민국"
"3230000","102","2002","17711","유흥주점영업","20021212","퍼스트","서울특별시 송파구 석촌호수로 216 (석촌동 지하23층)","서울특별시 송파구 석촌동  158번지  지하23층","1049.85","02  413 4783  ","20150826","","20151127","석촌동","","","","관광호텔나이트(디스코)","","","2","3","","","비대상","상수도전용","지하","","","","","","","","","71.10","348.00","0.00","584.15","46.60","0.00","0.00","0.00","","","","","3230000-102-2002-17711","","","","","","내국인","대한민국"
"3230000","102","2002","17711","유흥주점영업","20021212","퍼스트","서울특별시 송파구 석촌호수로 216 호텔 레이크 지하3층 (석촌동)","서울특별시 송파구 석촌동  158번지  호텔 레이크 지하3층","1763.33","02  413 4783  ","20150826","","20190711","석촌동","","","","관광호텔나이트(디스코)","","","2","3","","","비대상","상수도전용","지하","","","","","","","","","70.00","410.20","0.00","729.93","0.00","0.00","0.00","553.20","","","","","3230000-102-2002-17711","","","","","","내국인","대한민국"
"3230000","102","2002","17711","유흥주점영업","20021212","퍼스트","서울특별시 송파구 석촌호수로 216 호텔 레이크 지하3층 (석촌동)","서울특별시 송파구 석촌동  158번지  호텔 레이크 지하3층","1049.85","02  413 4783  ","20150826","","20190711","석촌동","","","","관광호텔나이트(디스코)","","","2","3","","","비대상","상수도전용","지하","","","","","","","","","71.10","348.00","0.00","584.15","46.60","0.00","0.00","0.00","","","","","3230000-102-2002-17711","","","","","","내국인","대한민국"
"3230000","102","2002","17711","유흥주점영업","20021212","퍼스트","서울특별시 송파구 석촌호수로 216 (석촌동 지하23층)","서울특별시 송파구 석촌동  158번지  지하23층","1763.33","02  413 4783  ","20180515","","20151127","석촌동","","","","관광호텔나이트(디스코)","","","2","3","","","비대상","상수도전용","지하","","","","","","","","","70.00","410.20","0.00","729.93","0.00","0.00","0.00","553.20","","","","","3230000-102-2002-17711","","","","","","내국인","대한민국"
"3230000","102","2002","17711","유흥주점영업","20021212","퍼스트","서울특별시 송파구 석촌호수로 216 (석촌동 지하23층)","서울특별시 송파구 석촌동  158번지  지하23층","1049.85","02  413 4783  ","20180515","","20151127","석촌동","","","","관광호텔나이트(디스코)","","","2","3","","","비대상","상수도전용","지하","","","","","","","","","71.10","348.00","0.00","584.15","46.60","0.00","0.00","0.00","","","","","3230000-102-2002-17711","","","","","","내국인","대한민국"
"3230000","102","2002","17711","유흥주점영업","20021212","퍼스트","서울특별시 송파구 석촌호수로 216 호텔 레이크 지하3층 (석촌동)","서울특별시 송파구 석촌동  158번지  호텔 레이크 지하3층","1763.33","02  413 4783  ","20180515","","20190711","석촌동","","","","관광호텔나이트(디스코)","","","2","3","","","비대상","상수도전용","지하","","","","","","","","","70.00","410.20","0.00","729.93","0.00","0.00","0.00","553.20","","","","","3230000-102-2002-17711","","","","","","내국인","대한민국"
"3230000","102","2002","17711","유흥주점영업","20021212","퍼스트","서울특별시 송파구 석촌호수로 216 호텔 레이크 지하3층 (석촌동)","서울특별시 송파구 석촌동  158번지  호텔 레이크 지하3층","1049.85","02  413 4783  ","20180515","","20190711","석촌동","","","","관광호텔나이트(디스코)","","","2","3","","","비대상","상수도전용","지하","","","","","","","","","71.10","348.00","0.00","584.15","46.60","0.00","0.00","0.00","","","","","3230000-102-2002-17711","","","","","","내국인","대한민국"
"3230000","102","2002","17711","유흥주점영업","20021212","퍼스트","서울특별시 송파구 석촌호수로 216 (석촌동 지하23층)","서울특별시 송파구 석촌동  158번지  지하23층","1763.33","02  413 4783  ","20190715","","20151127","석촌동","","","","관광호텔나이트(디스코)","","","2","3","","","비대상","상수도전용","지하","","","","","","","","","70.00","410.20","0.00","729.93","0.00","0.00","0.00","553.20","","","","","3230000-102-2002-17711","","","","","","내국인","대한민국"
