"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3180000","102","1980","02636","유흥주점영업","19800908","사탕","서울특별시 영등포구 양평로 68 (당산동6가 지하1층)","서울특별시 영등포구 당산동6가  339번지 4호  지하1층","94.50","  0220682848  ","20160308","","19800908","당산제2동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","6.60","87.90","0.00","0.00","0.00","0.00","0.00","0.00","","","","","3180000-102-1980-02636","","","","","","내국인","대한민국"
"3180000","102","1996","02615","유흥주점영업","19961212","파트너","서울특별시 영등포구 양평로 32 (당산동6가)","서울특별시 영등포구 당산동6가  224번지 0호  ","94.00","  0226360906  ","20121221","","19961212","당산제2동","20150602","자진폐업","사업부진","룸살롱","","","","","","","비대상","","","","","","","","","","","6.64","45.16","0.00","42.20","0.00","5.00","0.00","0.00","","","","","3180000-102-1996-02615","","","","","","내국인","대한민국"
"3180000","102","2000","13872","유흥주점영업","20001129","스타노래","서울특별시 영등포구 양평로 28 2층 (당산동6가)","서울특별시 영등포구 당산동6가  233번지 0호  2층","92.71","  0226750252  ","20161103","","20001129","당산제2동","","","","간이주점","","","","","","","비대상","","","","","","","","","","","3.12","55.68","0.00","28.15","5.76","0.00","0.00","0.00","","","","","3180000-102-2000-13872","","","","","","내국인","대한민국"
"3180000","102","2001","14137","유흥주점영업","20011210","버디","서울특별시 영등포구 양평로 66 (당산동6가)","서울특별시 영등포구 당산동6가  338번지 5호  ","","  0226356403  ","20160706","","20011210","당산제2동","","","","룸살롱","0","0","0","0","0","","비대상","","지하","0","0","","","","","","","6.00","35.78","","19.01","3.12","","","","","","","","3180000-102-2001-14137","","","","","","내국인","대한민국"
"3180000","102","2003","00006","유흥주점영업","20030218","마이노래시대","서울특별시 영등포구 양평로 64-1 (당산동6가(지1층))","서울특별시 영등포구 당산동6가  338번지 4호  (지1층)","","  0226720784  ","20170630","","20030218","당산제2동","","","","간이주점","0","0","0","0","0","","비대상","","지하","0","0","","","","","","","7.55","15.90","","16.11","","5.52","","59.59","","","","","3180000-102-2003-00006","","","","","","내국인","대한민국"
"3180000","102","2001","14145","유흥주점영업","20010702","서프라이즈","서울특별시 영등포구 경인로 872 (영등포동1가)","서울특별시 영등포구 영등포동1가  139번지 5호  ","","    26724480  ","20080226","","20010702","영등포동","20150730","행정처분","행정처분","룸살롱","","","","","","","비대상","","지하","","","","","","","","","13.60","79.37","","","9.18","","","64.60","","","","","3180000-102-2001-14145","","","","","","내국인","대한민국"
"3180000","102","2004","00001","유흥주점영업","20040220","팡팡","서울특별시 영등포구 경인로 872 (영등포동1가)","서울특별시 영등포구 영등포동1가  139번지 5호  ","98.09","  0226781713  ","20160630","","20040220","영등포동","","","","룸살롱","0","0","0","0","0","","비대상","","지상","0","0","","","","","","","3.67","68.84","0.00","24.78","0.80","0.00","0.00","0.00","0.00","0.00","","","3180000-102-2004-00001","","","","","","내국인","대한민국"
"3180000","102","2001","02629","유흥주점영업","20010627","두리두리","서울특별시 영등포구 영등포로 198 (영등포동4가)","서울특별시 영등포구 영등포동4가  145번지 1호  ","90.32","  0226781233  ","20140528","","20010627","영등포동","","","","룸살롱","","","1","1","","","비대상","상수도전용","","","","","","","","","","8.70","44.25","0.00","37.37","0.00","0.00","0.00","0.00","","","","","3180000-102-2001-02629","","","","","","내국인","대한민국"
"3180000","102","2014","00005","유흥주점영업","20141218","신세계노래바","서울특별시 영등포구 영중로 5 (영등포동4가)","서울특별시 영등포구 영등포동4가  432번지 14호  지하1층","90.28","02  26318861  ","20141218","","20141218","영등포동","20150105","자진폐업","계약만료","기타","","","","","","","비대상","상수도전용","지하","","","","","","","","","4.40","77.88","0.00","4.00","4.00","0.00","0.00","0.00","","","","","3180000-102-2014-00005","","","","","","내국인","대한민국"
"3180000","102","2015","00002","유흥주점영업","20150617","신세계노래바","서울특별시 영등포구 영중로 5 지하1층 (영등포동4가 시온빌딩)","서울특별시 영등포구 영등포동4가  432번지 14호  ","","010*******","20180810","","20150617","영등포동","","","","룸살롱","","","1","","4","","비대상","상수도전용","지하","","","","","","","","","4.40","77.88","","8.00","","","","","","","","","3180000-102-2015-00002","","","","","","내국인","대한민국"
