"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3020000","102","1975","03538","유흥주점영업","19750822","아리랑","서울특별시 용산구 녹사평대로 222 (이태원동(지상1층))","서울특별시 용산구 이태원동  557번지 0호  (지상1층)","43.19","  0207935221  ","20060707","","19960221","이태원제2동","20160412","행정처분","행정처분","스텐드바","0","0","0","0","0","20081218","비대상","상수도전용","","0","2","","","","","","","7.65","0.00","0.00","5.10","0.00","2.20","3.00","27.44","","","","","3020000-102-1975-03538","","","","","","내국인",""
"3020000","102","1967","03511","유흥주점영업","19670705","그랜드올아프리클럽","서울특별시 용산구 우사단로14길 16 (이태원동(지상1층))","서울특별시 용산구 이태원동  136번지 2호  (지상1층)","109.77","  0207959155  ","19970801","","19970801","이태원제1동","","","","스텐드바","0","0","0","0","0","20030625","비대상","상수도전용","","3","3","","","","","","","13.44","0.00","0.00","0.00","3.15","0.00","6.30","86.88","","","","","3020000-102-1967-03511","","","","","","내국인",""
"3020000","102","1967","03577","유흥주점영업","19671231","킹크럽","서울특별시 용산구 우사단로 40 (이태원동(지상1층))","서울특별시 용산구 이태원동  136번지 46호  (지상1층)","235.44","","20180626","","19981224","이태원제1동","","","","카바레","0","0","0","0","0","","비대상","상수도전용","","3","5","","","","","","","31.66","0.00","0.00","0.00","6.49","0.00","0.00","197.29","","","","","3020000-102-1967-03577","","","","","","내국인","대한민국"
"3020000","102","1967","03577","유흥주점영업","19671231","킹크럽","서울특별시 용산구 우사단로 40 (이태원동(지상1층))","서울특별시 용산구 이태원동  136번지 46호  (지상1층)","235.44","","20171013","","19981224","이태원제1동","","","","카바레","0","0","0","0","0","","비대상","상수도전용","","3","5","","","","","","","31.66","0.00","0.00","0.00","6.49","0.00","0.00","197.29","","","","","3020000-102-1967-03577","","","","","","내국인","대한민국"
"3020000","102","1968","03553","유흥주점영업","19681102","유엔크럽","서울특별시 용산구 우사단로 47 (이태원동2 6(지상1층))","서울특별시 용산구 이태원동  127번지 1호  2 6(지상1층)","196.90","  02 7927988  ","20170519","","20010615","이태원제1동","","","","관광호텔나이트(카바레)","","","","","","","비대상","","","","","","","","","","","34.80","0.00","0.00","18.00","4.18","0.00","0.56","139.36","","","","","3020000-102-1968-03553","","","","","","내국인","대한민국"
"3020000","102","1970","03530","유흥주점영업","19700420","골든게이트브리지(GG)","서울특별시 용산구 우사단로 42 (이태원동(지상2층))","서울특별시 용산구 이태원동  136번지 45호  (지상2층)","207.45","","20161019","","20010808","이태원제1동","","","","카바레","","","","","","","비대상","","","","","","","","","","","25.80","0.00","13.00","3.75","6.00","0.00","8.00","150.90","","","","","3020000-102-1970-03530","","","","","","내국인","대한민국"
"3020000","102","1970","03530","유흥주점영업","19700420","테마","서울특별시 용산구 우사단로 42 (이태원동(지상2층))","서울특별시 용산구 이태원동  136번지 45호  (지상2층)","207.45","","20161019","","20010808","이태원제1동","","","","카바레","","","","","","","비대상","","","","","","","","","","","25.80","0.00","13.00","3.75","6.00","0.00","8.00","150.90","","","","","3020000-102-1970-03530","","","","","","내국인","대한민국"
"3020000","102","1973","03529","유흥주점영업","19730329","케이크샵","서울특별시 용산구 이태원로 134 (이태원동(지하))","서울특별시 용산구 이태원동  34번지 16호  (지하)","76.90","","20120914","(주)케이크샵","19980721","이태원제1동","","","","비어(바)살롱","","","","","","","비대상","","","","","","","","","","","17.86","0.00","16.00","3.24","7.20","0.00","0.00","32.60","","","","","3020000-102-1973-03529","","","","","","내국인","대한민국"
"3020000","102","1980","03552","유흥주점영업","19800912","메카","서울특별시 용산구 녹사평대로 140 (이태원동(지하1층))","서울특별시 용산구 이태원동  34번지 69호  (지하1층)","1230.92"," 07041303910  ","20150427","(주)코리아터그","19800912","이태원제1동","","","","카바레","","","","","","","비대상","","","","","","","","","","","54.00","241.11","0.00","0.00","32.90","0.00","0.00","902.91","","","","","3020000-102-1980-03552","","","","","","내국인","대한민국"
"3020000","102","2012","00001","유흥주점영업","20120217","글램","서울특별시 용산구 이태원로27가길 26 (이태원동 해밀턴호텔 별관2층)","서울특별시 용산구 이태원동  116번지 1호  해밀턴호텔 별관 2층","","","20130612","(주)글램","20120217","이태원제1동","","","","비어(바)살롱","2","2","","","4","","비대상","상수도전용","지상","10","10","","","","","","","47.60","0.00","","8.00","30.30","","","298.64","","","","","3020000-102-2012-00001","","","","","","내국인","대한민국"
