"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3110000","102","2000","07549","유흥주점영업","20000918","블루노래바","서울특별시 은평구 응암로11길 12 (응암동(지층))","서울특별시 은평구 응암동  599번지 57호  (지층)","72.78","  02 3066918  ","20090323","","20000918","응암제3동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","8.70","18.50","0.00","0.00","0.00","3.99","0.00","45.58","0.00","0.00","","","3110000-102-2000-07549","","","","","","내국인","대한민국"
"3110000","102","2001","07932","유흥주점영업","20010518","메이퀸","서울특별시 은평구 응암로13길 9 (응암동(지하1층))","서울특별시 은평구 응암동  600번지 5호  (지하1층)","","  02 3082098  ","20150616","","20010618","응암제3동","","","","카바레","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","4.94","51.10","","20.30","","0.80","","38.80","0.00","0.00","","","3110000-102-2001-07932","","","","","","내국인","대한민국"
"3110000","102","2003","00003","유흥주점영업","20030620","금반가요","서울특별시 은평구 응암로 193 지하1층 (응암동)","서울특별시 은평구 응암동  600번지 2호  지하1층","297.00","  02 3026292  ","20150615","","20030620","응암제3동","20170519","자진폐업","개인사정","룸살롱","","","","","","","비대상","","지하","","","","","","","","","47.00","209.00","0.00","21.00","20.00","0.00","0.00","0.00","","","","","3110000-102-2003-00003","","","","","","내국인","대한민국"
"3110000","102","2007","00004","유흥주점영업","20071203","대박노래빠","서울특별시 은평구 응암로 207 (응암동(지하1층))","서울특별시 은평구 응암동  577번지 45호  (지하1층)","","  02 3062841  ","20181015","","20071203","응암제3동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","3.00","50.76","","31.40","3.00","","","","","","","","3110000-102-2007-00004","","","","","","내국인","대한민국"
"3110000","102","2007","00004","유흥주점영업","20071203","대박노래빠","서울특별시 은평구 응암로 207 (응암동(지하1층))","서울특별시 은평구 응암동  577번지 45호  (지하1층)","","  02 3062841  ","20151203","","20071203","응암제3동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","3.00","50.76","","31.40","3.00","","","","","","","","3110000-102-2007-00004","","","","","","내국인","대한민국"
"3110000","102","2008","00002","유흥주점영업","20080425","연인 노래바","서울특별시 은평구 응암로 193 (응암동외2필지 지상4층)","서울특별시 은평구 응암동  600번지 2호  외2필지 지상4층","","  02 3048877  ","20150917","","20080425","응암제3동","","","","룸살롱","4","4","","","4","","비대상","상수도전용","지상2층이상","","","","","","","","","14.40","425.20","","64.50","9.30","","","","","","","","3110000-102-2008-00002","","","","","","내국인","대한민국"
"3110000","102","2010","00003","유흥주점영업","20101110","샤방샤방메들리","서울특별시 은평구 가좌로 229 (응암동)","서울특별시 은평구 응암동  590번지 2호  ","","02  374 5788  ","20101110","","20101110","응암제3동","","","","기타","","","1","","3","","비대상","상수도전용","지하","","","","","","","","","5.70","10.06","","12.90","3.10","","","60.59","","","","","3110000-102-2010-00003","","","","","","내국인","대한민국"
"3110000","102","2011","00003","유흥주점영업","20111226","루실노래팡","서울특별시 은평구 가좌로 227 지하1층 (응암동)","서울특별시 은평구 응암동  590번지 3호  ","88.40","010*******","20150922","","20111226","응암제3동","","","","룸살롱","","","","","","","비대상","상수도전용","지하","","","","","","","","","6.70","31.00","0.00","8.70","3.10","0.00","0.00","38.90","","","","","3110000-102-2011-00003","","","","","","내국인","대한민국"
"3110000","102","2012","00001","유흥주점영업","20120110","보물섬","서울특별시 은평구 응암로13길 2 지하1층 (응암동)","서울특별시 은평구 응암동  590번지 6호  ","98.65","010*******","20180322","","20120110","응암제3동","","","","기타","","","","","","","비대상","","지하","","","","","","","","","7.80","0.00","0.00","42.55","9.90","0.00","0.00","38.40","","","","","3110000-102-2012-00001","","","","","","내국인","대한민국"
"3110000","102","2012","00001","유흥주점영업","20120110","보물섬","서울특별시 은평구 응암로13길 2 지하1층 (응암동)","서울특별시 은평구 응암동  590번지 6호  ","98.65","010*******","20141124","","20120110","응암제3동","","","","기타","","","","","","","비대상","","지하","","","","","","","","","7.80","0.00","0.00","42.55","9.90","0.00","0.00","38.40","","","","","3110000-102-2012-00001","","","","","","내국인","대한민국"
