시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,참고사항,조건부허가시작일,조건부허가종료일,조건부허가신고사유,신고조건,내외국인구분,국적
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,perm_nt_ymd,upso_nm,site_addr_rd,site_addr,trdp_area,upso_site_telno,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_gbn_nm,dcb_why,snt_uptae_nm,bdng_jisg_flr_num,bdng_jisg_flr_num2,bdng_under_flr_num,bdng_under_flr_num2,bdng_tot_flr_num,ed_fin_ymd,ge_eh_yn,grade_facil_gbn,site_loc_gbn,eip_man,eip_woman,ptsof_sort,ordtm_ptsof_avg,ordtm_ptsof_max,one_ptsof_stf,avg_food_amt,mng_gbn,trdp_area_jorijang,trdp_area_room,trdp_area_dance,trdp_area_etc,toil_area_upso,toil_etc_area_upso,trdp_area_dress_room,trdp_area_guest_seat,area_wrk,area_isp,trdp_disp_sil_ar,trdp_ware_depo_ar,perm_nt_no,rfn_item,cn_perm_stdt,cn_perm_enddt,cn_perm_nt_sayu,perm_nt_cn,kor_frgnr_gbn,ntn
3240000,102,1983,05526,유흥주점영업,19830624,대경,서울특별시 강동구 양재대로111길 18, (길동),서울특별시 강동구 길동  388번지 3호  ,278.38,  0204836662  ,20180504,,19980807,길동,,,,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,5,1,,,,,,,12.30,169.73,0.00,85.65,6.80,0.00,3.90,0.00,0.00,0.00,,,3240000-102-1983-05526,,,,,,내국인,대한민국
3240000,102,1983,05526,유흥주점영업,19830624,대경,서울특별시 강동구 양재대로111길 18, (길동),서울특별시 강동구 길동  388번지 3호  ,278.38,  0204836662  ,20120710,,19980807,길동,,,,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,5,1,,,,,,,12.30,169.73,0.00,85.65,6.80,0.00,3.90,0.00,0.00,0.00,,,3240000-102-1983-05526,,,,,,내국인,대한민국
3240000,102,1984,05512,유흥주점영업,19840612,샤방샤방,서울특별시 강동구 진황도로 106, (길동),서울특별시 강동구 길동  458번지 1호  ,83.08,  02 4848445  ,20100806,,20020322,길동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,5.25,39.19,0.00,30.00,2.40,0.00,6.24,0.00,0.00,0.00,,,3240000-102-1984-05512,,,,,,내국인,대한민국
3240000,102,1984,05516,유흥주점영업,19841224,수담,서울특별시 강동구 양재대로109길 26, (길동),서울특별시 강동구 길동  412번지 2호  ,134.50,  0226423928  ,20130424,,20020601,길동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,9.10,89.26,0.00,21.74,4.10,0.00,10.30,0.00,0.00,0.00,,,3240000-102-1984-05516,,,,,,내국인,대한민국
3240000,102,1984,05536,유흥주점영업,19840607,모델노래타운,서울특별시 강동구 진황도로 93, (길동),서울특별시 강동구 길동  415번지 18호  ,320.65,  02 4875603  ,20130508,,20010512,길동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,14.04,123.70,0.00,167.45,2.38,0.00,13.08,0.00,0.00,0.00,,,3240000-102-1984-05536,,,,,,내국인,대한민국
3240000,102,1985,05546,유흥주점영업,19850603,돌고래,서울특별시 강동구 천호대로175길 58, (길동),서울특별시 강동구 길동  414번지 1호  ,499.06,  02 4709951  ,20130219,,20020117,길동,20140428,자진폐업,영업부진,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,2,0,,,,,,,22.04,275.27,0.00,175.35,6.60,6.60,19.80,0.00,0.00,0.00,,,3240000-102-1985-05546,,,,,,내국인,대한민국
3240000,102,1985,05577,유흥주점영업,19850325,세일세일노래주점,서울특별시 강동구 양재대로 1471, (길동),서울특별시 강동구 길동  389번지 2호  ,743.62,  02 4715551  ,20130220,,20010626,길동,20160530,자진폐업,영업부진,룸살롱,0,0,1,1,5,,비대상,상수도전용,지하,25,23,,,,,,,25.09,0.00,63.24,71.07,33.85,0.00,9.10,541.27,0.00,0.00,,,3240000-102-1985-05577,,,,,,내국인,대한민국
3240000,102,1986,05518,유흥주점영업,19860715,왕초,서울특별시 강동구 진황도로 103, (길동),서울특별시 강동구 길동  413번지 13호  ,81.36,02  488 0224  ,20120726,,19981021,길동,,,,룸살롱,,,,,,,비대상,,지상,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.36,0.00,0.00,,,3240000-102-1986-05518,,,,,,내국인,대한민국
3240000,102,1986,05579,유흥주점영업,19861107,하루,서울특별시 강동구 진황도로 93, (길동),서울특별시 강동구 길동  415번지 18호  ,314.80,  02 4886463  ,20030207,,19950531,길동,,,,룸살롱,3,3,0,0,3,,비대상,상수도전용,지상,6,0,,,,,,,3.61,0.00,200.60,29.40,12.90,0.00,2.97,65.32,0.00,0.00,,,3240000-102-1986-05579,,,,,,내국인,
3240000,102,1987,05515,유흥주점영업,19870209,대명,서울특별시 강동구 양재대로 1463-1, (길동),서울특별시 강동구 길동  412번지 15호  ,207.97,  02 4886540  ,20160929,,20020118,길동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,11.50,184.47,0.00,0.00,0.00,6.00,12.00,0.00,0.00,0.00,,,3240000-102-1987-05515,,,,,,내국인,대한민국
3240000,102,1988,05531,유흥주점영업,19880407,카라,서울특별시 강동구 양재대로 1463-1, (길동),서울특별시 강동구 길동  412번지 15호  ,205.58,  02 4791818  ,20090114,,20010915,길동,,,,룸살롱,,,,,,,비대상,,지상,,,,,,,,,11.31,55.98,0.00,22.09,11.70,0.00,0.00,104.50,0.00,0.00,,,3240000-102-1988-05531,,,,,,내국인,대한민국
3240000,102,1989,05511,유흥주점영업,19890825,동경,서울특별시 강동구 천중로40길 67, (길동),서울특별시 강동구 길동  387번지 2호  지하1층,139.96,  02 4858487  ,20100331,,20020314,길동,20171208,자진폐업,개인사정,룸살롱,,,1,1,,,비대상,,지하,,,,,,,,,6.40,0.00,0.00,8.40,2.04,0.00,3.15,119.97,0.00,0.00,,,3240000-102-1989-05511,,,,,,내국인,대한민국
3240000,102,1990,05522,유흥주점영업,19900530,크리스탈,서울특별시 강동구 천호대로173길 39, (길동),서울특별시 강동구 길동  416번지 20호  지하1층,198.65,,20180424,,20020330,길동,,,,룸살롱,,,1,1,,,비대상,,지하,,,,,,,,,5.88,85.47,0.00,72.90,15.05,0.00,19.35,0.00,0.00,0.00,,,3240000-102-1990-05522,,,,,,내국인,대한민국
3240000,102,1990,05522,유흥주점영업,19900530,크리스탈,서울특별시 강동구 천호대로173길 39, (길동),서울특별시 강동구 길동  416번지 20호  지하1층,198.65,,20170908,,20020330,길동,,,,룸살롱,,,1,1,,,비대상,,지하,,,,,,,,,5.88,85.47,0.00,72.90,15.05,0.00,19.35,0.00,0.00,0.00,,,3240000-102-1990-05522,,,,,,내국인,대한민국
3240000,102,1990,05537,유흥주점영업,19900521,국빈,서울특별시 강동구 진황도로 98, (길동),서울특별시 강동구 길동  456번지 1호  ,391.69,02  477 9333  ,20171020,,19940621,길동,,,,룸살롱,0,0,1,1,3,,비대상,상수도전용,지하,15,12,,,,,,,16.56,249.75,0.00,92.20,18.00,0.00,15.18,0.00,0.00,0.00,,,3240000-102-1990-05537,,,,,,내국인,대한민국
3240000,102,1990,05558,유흥주점영업,19900626,키스,서울특별시 강동구 천중로40길 71, (길동),서울특별시 강동구 길동  387번지 14호  ,245.37,02  471 0670  ,20100318,,20020409,길동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,12.00,140.28,0.00,82.43,2.60,0.00,8.06,0.00,0.00,0.00,,,3240000-102-1990-05558,,,,,,내국인,대한민국
3240000,102,1990,05563,유흥주점영업,19900425,찬스,서울특별시 강동구 천호대로 1135, (길동),서울특별시 강동구 길동  459번지 2호  ,1037.66,  02 4770010  ,20180816,,20010705,길동,,,,고고(디스코)클럽,,,1,1,,,비대상,,지하,,,,,,,,,29.61,150.55,72.32,25.93,0.00,34.60,153.00,606.25,0.00,0.00,,,3240000-102-1990-05563,,,,,,내국인,대한민국
3240000,102,1990,05563,유흥주점영업,19900425,찬스,서울특별시 강동구 천호대로 1135, (길동),서울특별시 강동구 길동  459번지 2호  ,1037.66,  02 4770010  ,20180227,,20010705,길동,,,,고고(디스코)클럽,,,1,1,,,비대상,,지하,,,,,,,,,29.61,150.55,72.32,25.93,0.00,34.60,153.00,606.25,0.00,0.00,,,3240000-102-1990-05563,,,,,,내국인,대한민국
3240000,102,1990,05563,유흥주점영업,19900425,찬스,서울특별시 강동구 천호대로 1135, (길동),서울특별시 강동구 길동  459번지 2호  ,1037.66,  02 4770010  ,20161020,,20010705,길동,,,,고고(디스코)클럽,,,1,1,,,비대상,,지하,,,,,,,,,29.61,150.55,72.32,25.93,0.00,34.60,153.00,606.25,0.00,0.00,,,3240000-102-1990-05563,,,,,,내국인,대한민국
3240000,102,1999,05548,유흥주점영업,19990115,해성,서울특별시 강동구 진황도로 104, (길동),서울특별시 강동구 길동  458번지 0호  지하1층,135.92,  02 4873100  ,20171023,,20010228,길동,,,,스텐드바,0,0,1,1,3,,비대상,상수도전용,지하,1,1,,,,,,,6.93,34.43,0.00,15.66,1.87,0.00,8.41,68.62,0.00,0.00,,,3240000-102-1999-05548,,,,,,내국인,대한민국
3240000,102,1999,10528,유흥주점영업,19990427,천지회관,서울특별시 강동구 천호대로 1135, (길동),서울특별시 강동구 길동  459번지 2호  ,684.56,  02 4880084  ,20130621,,20020515,길동,,,,카바레,6,6,0,0,8,,비대상,상수도전용,지상,0,0,,,,,,,34.86,75.40,128.00,72.70,23.76,0.00,0.00,349.84,0.00,0.00,,,3240000-102-1999-10528,,,,,,내국인,대한민국
3240000,102,1999,10594,유흥주점영업,19990515,돈텔마마,서울특별시 강동구 양재대로 1457, (길동),서울특별시 강동구 길동  412번지 12호  ,360.07,  02 4872184  ,20150610,,19990515,길동,,,,룸살롱,,,,,,,비대상,,지상,,,,,,,,,18.49,243.32,0.00,87.46,10.80,0.00,0.00,0.00,0.00,0.00,,,3240000-102-1999-10594,,,,,,내국인,대한민국
3240000,102,1999,10676,유흥주점영업,19990618,연주노래장,서울특별시 강동구 천호대로175길 11-8, (길동),서울특별시 강동구 길동  450번지 1호  ,,  02 4835077  ,20160113,,20020208,길동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,8.67,63.92,0.00,20.53,,4.03,0.00,,,,,,3240000-102-1999-10676,,,,,,내국인,대한민국
3240000,102,1999,10863,유흥주점영업,19990831,애플,서울특별시 강동구 양재대로111길 32, (길동),서울특별시 강동구 길동  387번지 15호  ,130.38,  02 4751113  ,20130424,,19990831,길동,,,,비어(바)살롱,,,,,,,비대상,,지하,,,,,,,,,9.45,36.72,0.00,4.55,0.00,6.24,0.00,79.66,0.00,0.00,,,3240000-102-1999-10863,,,,,,내국인,대한민국
3240000,102,1999,10944,유흥주점영업,19991001,돌풍,서울특별시 강동구 양재대로109길 7, (길동),서울특별시 강동구 길동  413번지 44호  ,163.44,  02 4777478  ,20151208,,20020528,길동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,16.08,48.40,0.00,7.20,8.40,0.00,4.50,78.86,0.00,0.00,,,3240000-102-1999-10944,,,,,,내국인,대한민국
3240000,102,1999,11044,유흥주점영업,19991105,눈사람,서울특별시 강동구 천호대로175길 58, (길동),서울특별시 강동구 길동  414번지 1호  ,277.20,  02 4848411  ,20190307,,20011124,길동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.20,0.00,0.00,,,3240000-102-1999-11044,,,,,,내국인,대한민국
3240000,102,1999,11044,유흥주점영업,19991105,눈사람,서울특별시 강동구 천호대로175길 58, (길동),서울특별시 강동구 길동  414번지 1호  ,277.20,  02 4848411  ,20161114,,20011124,길동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.20,0.00,0.00,,,3240000-102-1999-11044,,,,,,내국인,대한민국
