시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,참고사항,조건부허가시작일,조건부허가종료일,조건부허가신고사유,신고조건,내외국인구분,국적
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,perm_nt_ymd,upso_nm,site_addr_rd,site_addr,trdp_area,upso_site_telno,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_gbn_nm,dcb_why,snt_uptae_nm,bdng_jisg_flr_num,bdng_jisg_flr_num2,bdng_under_flr_num,bdng_under_flr_num2,bdng_tot_flr_num,ed_fin_ymd,ge_eh_yn,grade_facil_gbn,site_loc_gbn,eip_man,eip_woman,ptsof_sort,ordtm_ptsof_avg,ordtm_ptsof_max,one_ptsof_stf,avg_food_amt,mng_gbn,trdp_area_jorijang,trdp_area_room,trdp_area_dance,trdp_area_etc,toil_area_upso,toil_etc_area_upso,trdp_area_dress_room,trdp_area_guest_seat,area_wrk,area_isp,trdp_disp_sil_ar,trdp_ware_depo_ar,perm_nt_no,rfn_item,cn_perm_stdt,cn_perm_enddt,cn_perm_nt_sayu,perm_nt_cn,kor_frgnr_gbn,ntn
3200000,102,2001,07751,유흥주점영업,20010320,백궁룸비지니스,서울특별시 관악구 남부순환로 1740, (봉천동),서울특별시 관악구 봉천동  927번지 1호  ,,  02 8773640  ,20070110,,20010320,청룡동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,2,3,,,,,,,4.60,53.07,,,,,8.37,25.64,,,,,3200000-102-2001-07751,,,,,,내국인,
3200000,102,2001,07791,유흥주점영업,20010719,엔돌핀,서울특별시 관악구 관악로15길 11, (봉천동),서울특별시 관악구 봉천동  863번지 10호  ,90.54,  02 8856767  ,20101022,,20010719,청룡동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,8.00,44.87,0.00,9.61,4.30,0.00,0.00,23.76,,,,,3200000-102-2001-07791,,,,,,내국인,대한민국
3200000,102,2001,07799,유흥주점영업,20010607,W노래존,서울특별시 관악구 남부순환로220길 16, (봉천동,지하1층),서울특별시 관악구 봉천동  868번지 2호  지하1층,76.00,  02 8889897  ,20061129,,20010607,청룡동,20180516,자진폐업,영업부진,룸살롱,,,1,1,,20070403,비대상,,지하,,,,,,,,,4.40,41.20,0.00,14.70,0.00,3.20,0.00,15.70,,,,,3200000-102-2001-07799,,,,,,내국인,
3200000,102,2001,07803,유흥주점영업,20010203,도레미노래빠,서울특별시 관악구 청룡길 9, (봉천동),서울특별시 관악구 봉천동  894번지 16호  ,73.27,02  887 7420  ,20180515,,20010203,청룡동,,,,비어(바)살롱,,,,,,,비대상,,지하,,,,,,,,,8.33,37.35,0.00,6.72,3.00,0.00,0.00,17.87,,,,,3200000-102-2001-07803,,,,,,내국인,대한민국
3200000,102,2001,07803,유흥주점영업,20010203,도레미노래빠,서울특별시 관악구 청룡길 9, (봉천동),서울특별시 관악구 봉천동  894번지 16호  ,73.27,02  887 7420  ,20140321,,20010203,청룡동,,,,비어(바)살롱,,,,,,,비대상,,지하,,,,,,,,,8.33,37.35,0.00,6.72,3.00,0.00,0.00,17.87,,,,,3200000-102-2001-07803,,,,,,내국인,대한민국
3200000,102,2001,07819,유흥주점영업,20010707,짝,서울특별시 관악구 관악로15길 17, (봉천동, 성우빌딩2층),서울특별시 관악구 봉천동  866번지 1호  ,85.54,011*******,20121224,,20010707,청룡동,20181129,자진폐업,재건축,룸살롱,2,2,,,,,비대상,,지상,,,,,,,,,2.99,42.58,0.00,5.36,0.00,8.36,0.00,34.61,0.00,0.00,,,3200000-102-2001-07819,,,,,,내국인,대한민국
3200000,102,2003,00014,유흥주점영업,20031216,풀코스,서울특별시 관악구 남부순환로220길 28, (봉천동),서울특별시 관악구 봉천동  866번지 2호  ,,,20090521,,20031216,청룡동,,,,룸살롱,,,,,,20091218,비대상,,지하,,,,,,,,,11.90,45.78,0.00,27.86,4.80,0.00,7.04,,,,,,3200000-102-2003-00014,,,,,,내국인,대한민국
3200000,102,2004,00006,유흥주점영업,20041124,보물섬,서울특별시 관악구 남부순환로220길 45, 지하1층 (봉천동),서울특별시 관악구 봉천동  864번지 3호  지하1층,82.85,  02 8891006  ,20130717,,20041124,청룡동,20190208,행정처분,행정처분,룸살롱,,,,,,,비대상,,지하,,,,,,,,,6.00,27.00,0.00,7.50,8.46,0.00,0.00,33.89,,,,,3200000-102-2004-00006,,,,,,내국인,대한민국
3200000,102,2005,00006,유흥주점영업,20051125,상류사회,서울특별시 관악구 관악로17길 3, (봉천동),서울특별시 관악구 봉천동  868번지 1호  ,,  02 8887442  ,20121218,,20051125,청룡동,20190214,자진폐업,,룸살롱,1,1,0,0,7,,비대상,상수도전용,지하,0,0,,,,,,,4.50,34.34,,18.59,,5.77,,,,,,,3200000-102-2005-00006,,,,,,내국인,대한민국
3200000,102,2006,00002,유흥주점영업,20060807,테마노래바,서울특별시 관악구 관악로 157, (봉천동),서울특별시 관악구 봉천동  863번지 4호  ,81.78,  02 8854722  ,20170102,,20060807,청룡동,,,,룸살롱,0,0,1,1,3,,비대상,상수도전용,지하,0,0,,,,,,,1.95,47.39,0.00,0.00,0.00,3.69,0.00,32.44,0.00,0.00,,,3200000-102-2006-00002,,,,,,내국인,대한민국
3200000,102,2006,00005,유흥주점영업,20061018,노래천국,서울특별시 관악구 관악로17길 3, (봉천동),서울특별시 관악구 봉천동  868번지 1호  ,69.75,  02 8887442  ,20061018,,20061018,청룡동,20190214,자진폐업,,룸살롱,0,0,1,1,7,20060922,비대상,상수도전용,지하,0,0,,,,,,,2.29,57.37,0.00,10.09,0.00,5.77,0.00,0.00,0.00,0.00,,,3200000-102-2006-00005,,,,,,내국인,
