시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,참고사항,조건부허가시작일,조건부허가종료일,조건부허가신고사유,신고조건,내외국인구분,국적
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,perm_nt_ymd,upso_nm,site_addr_rd,site_addr,trdp_area,upso_site_telno,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_gbn_nm,dcb_why,snt_uptae_nm,bdng_jisg_flr_num,bdng_jisg_flr_num2,bdng_under_flr_num,bdng_under_flr_num2,bdng_tot_flr_num,ed_fin_ymd,ge_eh_yn,grade_facil_gbn,site_loc_gbn,eip_man,eip_woman,ptsof_sort,ordtm_ptsof_avg,ordtm_ptsof_max,one_ptsof_stf,avg_food_amt,mng_gbn,trdp_area_jorijang,trdp_area_room,trdp_area_dance,trdp_area_etc,toil_area_upso,toil_etc_area_upso,trdp_area_dress_room,trdp_area_guest_seat,area_wrk,area_isp,trdp_disp_sil_ar,trdp_ware_depo_ar,perm_nt_no,rfn_item,cn_perm_stdt,cn_perm_enddt,cn_perm_nt_sayu,perm_nt_cn,kor_frgnr_gbn,ntn
3040000,102,1976,06841,유흥주점영업,19761101,술마시는뮤직노래방,서울특별시 광진구 구의로 72, (구의동),서울특별시 광진구 구의동  228번지 1호  ,,  02 4587970  ,20170412,,20010724,구의제3동,,,,룸살롱,2,2,,,0,,비대상,상수도전용,지상,0,0,,,,,,,4.56,,26.23,,,,4.56,84.15,,,,,3040000-102-1976-06841,,,,,,내국인,대한민국
3040000,102,1991,06845,유흥주점영업,19910426,엘레강스,서울특별시 광진구 구의강변로 38, (구의동),서울특별시 광진구 구의동  595번지 0호  ,,  02 4551100  ,19910426,,19961118,구의제3동,,,,비어(바)살롱,10,10,0,0,0,,비대상,상수도전용,지상,0,0,,,,,,,8.75,,,,,22.94,,24.75,,,,,3040000-102-1991-06845,,,,,,내국인,
3040000,102,1980,06842,유흥주점영업,19800712,브이아이피,서울특별시 광진구 광나루로 529, (구의동),서울특별시 광진구 구의동  66번지 62호  ,131.90,  02 4444039  ,20181026,,20010522,구의제2동,,,,스텐드바,,,1,1,,,비대상,,지하,,,,,,,,,4.31,39.66,0.00,8.42,6.46,0.00,0.00,73.05,0.00,0.00,,,3040000-102-1980-06842,,,,,,내국인,대한민국
3040000,102,1980,06842,유흥주점영업,19800712,쉬리,서울특별시 광진구 광나루로 529, (구의동),서울특별시 광진구 구의동  66번지 62호  ,131.90,  02 4444039  ,20181026,,20010522,구의제2동,,,,스텐드바,,,1,1,,,비대상,,지하,,,,,,,,,4.31,39.66,0.00,8.42,6.46,0.00,0.00,73.05,0.00,0.00,,,3040000-102-1980-06842,,,,,,내국인,대한민국
3040000,102,1980,06842,유흥주점영업,19800712,브이아이피,서울특별시 광진구 광나루로 529, (구의동),서울특별시 광진구 구의동  66번지 62호  ,131.90,  02 4444039  ,20150612,,20010522,구의제2동,,,,스텐드바,,,1,1,,,비대상,,지하,,,,,,,,,4.31,39.66,0.00,8.42,6.46,0.00,0.00,73.05,0.00,0.00,,,3040000-102-1980-06842,,,,,,내국인,대한민국
3040000,102,1980,06842,유흥주점영업,19800712,쉬리,서울특별시 광진구 광나루로 529, (구의동),서울특별시 광진구 구의동  66번지 62호  ,131.90,  02 4444039  ,20150612,,20010522,구의제2동,,,,스텐드바,,,1,1,,,비대상,,지하,,,,,,,,,4.31,39.66,0.00,8.42,6.46,0.00,0.00,73.05,0.00,0.00,,,3040000-102-1980-06842,,,,,,내국인,대한민국
3040000,102,1979,06840,유흥주점영업,19790922,파크,서울특별시 광진구 자양로 187, (구의동),서울특별시 광진구 구의동  253번지 13호  ,92.97,  02 4586624  ,20190102,,19970129,구의제1동,,,,스텐드바,,,,,,,비대상,,지하,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.97,,,,,3040000-102-1979-06840,,,,,,내국인,대한민국
3040000,102,1979,06840,유흥주점영업,19790922,가시나무새,서울특별시 광진구 자양로 187, (구의동),서울특별시 광진구 구의동  253번지 13호  ,92.97,  02 4586624  ,20190102,,19970129,구의제1동,,,,스텐드바,,,,,,,비대상,,지하,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.97,,,,,3040000-102-1979-06840,,,,,,내국인,대한민국
3040000,102,1979,06840,유흥주점영업,19790922,파크,서울특별시 광진구 자양로 187, (구의동),서울특별시 광진구 구의동  253번지 13호  ,92.97,  02 4586624  ,20170522,,19970129,구의제1동,,,,스텐드바,,,,,,,비대상,,지하,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.97,,,,,3040000-102-1979-06840,,,,,,내국인,대한민국
3040000,102,1979,06840,유흥주점영업,19790922,가시나무새,서울특별시 광진구 자양로 187, (구의동),서울특별시 광진구 구의동  253번지 13호  ,92.97,  02 4586624  ,20170522,,19970129,구의제1동,,,,스텐드바,,,,,,,비대상,,지하,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.97,,,,,3040000-102-1979-06840,,,,,,내국인,대한민국
3040000,102,1980,06847,유흥주점영업,19800516,뮤즈노래바,서울특별시 광진구 자양로 112, (구의동),서울특별시 광진구 구의동  252번지 44호  ,,  02 4468227  ,20151223,,19961114,구의제1동,,,,룸살롱,0,0,1,1,,,비대상,상수도전용,지하,0,0,,,,,,,4.94,,51.72,3.69,3.69,,,69.85,,,,,3040000-102-1980-06847,,,,,,내국인,대한민국
3040000,102,1972,06844,유흥주점영업,19720804,한영술마시는노래방,서울특별시 광진구 광나루로 384, (화양동),서울특별시 광진구 화양동  192번지  ,,  02 4653939  ,20080421,,19960117,화양동,,,,비어(바)살롱,,,1,1,,20080627,비대상,상수도전용,지하,0,0,,,,,,,8.00,,,,,3.30,3.51,63.82,,,,,3040000-102-1972-06844,,,,,,내국인,대한민국
3040000,102,1974,06852,유흥주점영업,19741019,카라노래바,서울특별시 광진구 동일로 168, (화양동),서울특별시 광진구 화양동  23번지 39호  ,,  02 4986262  ,20091116,,19981102,화양동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,4.40,53.34,,21.00,4.30,,6.44,,,,,,3040000-102-1974-06852,,,,,,내국인,대한민국
3040000,102,1975,06849,유흥주점영업,19751126,해피,서울특별시 광진구 광나루로12길 19, (화양동),서울특별시 광진구 화양동  20번지 25호  ,176.87,  02 4972411  ,20140225,,19751126,화양동,20150123,행정처분,행정처분,카바레,,,1,1,,,비대상,,지하,,,,,,,,,12.00,129.35,0.00,30.52,0.00,0.00,5.00,0.00,0.00,0.00,,,3040000-102-1975-06849,,,,,,내국인,대한민국
3040000,102,1975,06857,유흥주점영업,19751126,바나나클럽,서울특별시 광진구 동일로 170, (화양동,, 29),서울특별시 광진구 화양동  23번지 28호  , 29,94.96,  02 4974833  ,20090410,,19980723,화양동,,,,룸살롱,,,1,1,3,,비대상,상수도전용,지하,,,,,,,,,6.93,45.29,0.00,40.10,2.64,0.00,0.00,0.00,,,,,3040000-102-1975-06857,,,,,,내국인,대한민국
3040000,102,1979,06851,유흥주점영업,19790418,W(더블유),서울특별시 광진구 동일로 166, (화양동),서울특별시 광진구 화양동  23번지 40호  ,,  02 4663139  ,20121108,,20011109,화양동,,,,카바레,,,,,,,비대상,,지하,,,,,,,,,14.51,170.72,,42.18,,3.30,22.77,,,,,,3040000-102-1979-06851,,,,,,내국인,대한민국
3040000,102,1979,06860,유흥주점영업,19790309,슈퍼모델,서울특별시 광진구 동일로 164, (화양동,, 7),서울특별시 광진구 화양동  24번지 1호  , 7,,  02 4639696  ,20090210,,19980518,화양동,,,,룸살롱,0,0,1,1,,,비대상,상수도전용,지하,0,0,,,,,,,6.78,43.09,,4.50,10.00,,2.40,53.37,,,,,3040000-102-1979-06860,,,,,,내국인,대한민국
3040000,102,1976,06858,유흥주점영업,19760223,쎄시,서울특별시 광진구 광나루로 347, (군자동),서울특별시 광진구 군자동  355번지 14호  ,96.76,  02 4978170  ,20150320,,20011105,군자동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,0.00,77.61,0.00,19.15,0.00,0.00,0.00,0.00,,,,,3040000-102-1976-06858,,,,,,내국인,대한민국
