시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,참고사항,조건부허가시작일,조건부허가종료일,조건부허가신고사유,신고조건,내외국인구분,국적
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,perm_nt_ymd,upso_nm,site_addr_rd,site_addr,trdp_area,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_gbn_nm,dcb_why,snt_uptae_nm,bdng_jisg_flr_num,bdng_jisg_flr_num2,bdng_under_flr_num,bdng_under_flr_num2,bdng_tot_flr_num,ed_fin_ymd,ge_eh_yn,grade_facil_gbn,site_loc_gbn,eip_man,eip_woman,ptsof_sort,ordtm_ptsof_avg,ordtm_ptsof_max,one_ptsof_stf,avg_food_amt,mng_gbn,trdp_area_jorijang,trdp_area_room,trdp_area_dance,trdp_area_etc,toil_area_upso,toil_etc_area_upso,trdp_area_dress_room,trdp_area_guest_seat,area_wrk,area_isp,trdp_disp_sil_ar,trdp_ware_depo_ar,perm_nt_no,rfn_item,cn_perm_stdt,cn_perm_enddt,cn_perm_nt_sayu,perm_nt_cn,kor_frgnr_gbn,ntn
3100000,102,1989,04958,유흥주점영업,19891222,호박관광나이트클럽,서울특별시 노원구 노해로 456, 동방빌딩 지하층 (상계동),서울특별시 노원구 상계동  734번지 4호  동방빌딩,1063.81,20160704,,19980904,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,지하,,,,,,,,,39.00,141.39,108.80,143.36,38.50,,15.76,577.00,,,,,3100000-102-1989-04958,,,,,,내국인,대한민국
3100000,102,1990,04961,유흥주점영업,19900929,무랑루즈 크럽,서울특별시 노원구 동일로 1413, (상계동, 지상2층),서울특별시 노원구 상계동  712번지 0호  지상2층,154.76,20120206,,19980812,상계6.7동,20150406,자진폐업,영업부진으로 경제적 손실,룸살롱,,,,,,,비대상,,,,,,,,,,,6.00,118.06,0.00,25.42,0.00,0.00,5.28,0.00,,,,,3100000-102-1990-04961,,,,,,내국인,대한민국
3100000,102,1991,04962,유흥주점영업,19910112,마이웨이,서울특별시 노원구 동일로 1413, (상계동,지하1층),서울특별시 노원구 상계동  712번지 0호  지하1층,598.54,20150519,,19970912,상계6.7동,20180607,자진폐업,사업부진,룸살롱,,,,,,,비대상,,지하,,,,,,,,,26.75,278.93,15.75,259.71,0.00,0.00,17.40,0.00,,,,,3100000-102-1991-04962,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,별이빛나는밤에,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20190516,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,랑데뷰,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20190516,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,별이빛나는밤B1,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20190516,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,별이빛나는밤에,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20130320,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,랑데뷰,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20130320,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,04959,유흥주점영업,19991020,별이빛나는밤B1,서울특별시 노원구 동일로 1417, (상계동),서울특별시 노원구 상계동  711번지 13호  ,889.03,20130320,,19980905,상계6.7동,,,,고고(디스코)클럽,,,,,,,비대상,,,,,,,,,,,50.71,69.08,88.63,0.00,38.94,0.00,0.00,641.67,,,,,3100000-102-1999-04959,,,,,,내국인,대한민국
3100000,102,1999,05857,유흥주점영업,19990406,토마토,서울특별시 노원구 노해로 494, 지하1층 2,3,4호 (상계동),서울특별시 노원구 상계동  724번지 3호  지하1층 2,3,4호,240.16,20160316,,19991011,상계6.7동,,,,룸살롱,,,,,,,비대상,상수도전용,,0,0,,,,,,,12.37,88.02,0.00,78.12,0.00,20.00,16.57,45.08,,,,,3100000-102-1999-05857,,,,,,내국인,대한민국
3100000,102,1999,05994,유흥주점영업,19990416,신밧드,서울특별시 노원구 동일로 1396, (상계동,지하1층),서울특별시 노원구 상계동  728번지 1호  지하1층,364.58,20190409,,19990830,상계6.7동,,,,룸살롱,,,,,,,비대상,,,,,,,,,,,21.88,217.59,0.00,109.26,15.85,0.00,0.00,0.00,,,,,3100000-102-1999-05994,,,,,,내국인,대한민국
