시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,참고사항,조건부허가시작일,조건부허가종료일,조건부허가신고사유,신고조건,내외국인구분,국적
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,perm_nt_ymd,upso_nm,site_addr_rd,site_addr,trdp_area,upso_site_telno,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_gbn_nm,dcb_why,snt_uptae_nm,bdng_jisg_flr_num,bdng_jisg_flr_num2,bdng_under_flr_num,bdng_under_flr_num2,bdng_tot_flr_num,ed_fin_ymd,ge_eh_yn,grade_facil_gbn,site_loc_gbn,eip_man,eip_woman,ptsof_sort,ordtm_ptsof_avg,ordtm_ptsof_max,one_ptsof_stf,avg_food_amt,mng_gbn,trdp_area_jorijang,trdp_area_room,trdp_area_dance,trdp_area_etc,toil_area_upso,toil_etc_area_upso,trdp_area_dress_room,trdp_area_guest_seat,area_wrk,area_isp,trdp_disp_sil_ar,trdp_ware_depo_ar,perm_nt_no,rfn_item,cn_perm_stdt,cn_perm_enddt,cn_perm_nt_sayu,perm_nt_cn,kor_frgnr_gbn,ntn
3190000,102,1994,01873,유흥주점영업,19940503,산울림,서울특별시 동작구 상도로 93, (상도동),서울특별시 동작구 상도동  328번지 7호  ,92.79,  0208135860  ,20121023,,20010920,상도제1동,20130228,자진폐업,재건출,룸살롱,0,0,1,1,3,,비대상,상수도전용,지하,1,2,,,,,,,6.00,35.14,0.00,0.00,2.40,0.00,5.50,43.75,0.00,0.00,,,3190000-102-1994-01873,,,,,,내국인,대한민국
3190000,102,1973,01869,유흥주점영업,19730731,별밤,서울특별시 동작구 상도로 179, (상도동),서울특별시 동작구 상도동  365번지 1호  ,,  0208141802  ,20170427,,20010731,상도제2동,,,,스텐드바,0,0,1,1,3,,비대상,상수도전용,지하,2,2,,,,,,,9.00,77.00,,5.25,,2.60,4.00,,,,,,3190000-102-1973-01869,,,,,,내국인,대한민국
3190000,102,1994,01854,유흥주점영업,19940422,팡팡,서울특별시 동작구 장승배기로10길 9, (상도동,,13호),서울특별시 동작구 상도동  369번지 6호  ,13호,,  0208177647  ,20120807,,20010630,상도제2동,,,,룸살롱,0,0,1,1,3,,비대상,상수도전용,지하,1,6,,,,,,,4.00,37.42,0.00,28.41,3.85,0.00,5.52,,0.00,0.00,,,3190000-102-1994-01854,,,,,,내국인,대한민국
3190000,102,1994,01897,유흥주점영업,19940507,수노래빠,서울특별시 동작구 상도로 166, (상도동),서울특별시 동작구 상도동  183번지 17호  ,,  02 8524860  ,20180417,,19890830,상도제2동,,,,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,2,6,,,,,,,6.24,,9.00,5.84,1.20,3.52,,120.01,,,,,3190000-102-1994-01897,,,,,,내국인,대한민국
3190000,102,1994,01897,유흥주점영업,19940507,짝노래방,서울특별시 동작구 상도로 166, (상도동),서울특별시 동작구 상도동  183번지 17호  ,,  02 8524860  ,20180417,,19890830,상도제2동,,,,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,2,6,,,,,,,6.24,,9.00,5.84,1.20,3.52,,120.01,,,,,3190000-102-1994-01897,,,,,,내국인,대한민국
3190000,102,1994,01897,유흥주점영업,19940507,수노래빠,서울특별시 동작구 상도로 166, (상도동),서울특별시 동작구 상도동  183번지 17호  ,,  02 8524860  ,20160615,,19890830,상도제2동,,,,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,2,6,,,,,,,6.24,,9.00,5.84,1.20,3.52,,120.01,,,,,3190000-102-1994-01897,,,,,,내국인,대한민국
3190000,102,1994,01897,유흥주점영업,19940507,짝노래방,서울특별시 동작구 상도로 166, (상도동),서울특별시 동작구 상도동  183번지 17호  ,,  02 8524860  ,20160615,,19890830,상도제2동,,,,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,2,6,,,,,,,6.24,,9.00,5.84,1.20,3.52,,120.01,,,,,3190000-102-1994-01897,,,,,,내국인,대한민국
3190000,102,2002,00002,유흥주점영업,20020412,파파코(PAPACO),서울특별시 동작구 상도로 179, (상도동, 지하1층),서울특별시 동작구 상도동  365번지 1호  지하1층,,  02817 8782  ,20180703,,20020412,상도제2동,,,,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,0,0,,,,,,,6.25,38.64,,46.00,,3.60,,,,,,,3190000-102-2002-00002,,,,,,내국인,대한민국
3190000,102,2002,00002,유흥주점영업,20020412,파파코(PAPACO),서울특별시 동작구 상도로 179, (상도동, 지하1층),서울특별시 동작구 상도동  365번지 1호  지하1층,,  02817 8782  ,20170821,,20020412,상도제2동,,,,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,0,0,,,,,,,6.25,38.64,,46.00,,3.60,,,,,,,3190000-102-2002-00002,,,,,,내국인,대한민국
3190000,102,1980,00779,유흥주점영업,19800204,이큐(EQ),서울특별시 동작구 상도로 95-1, (상도동),서울특별시 동작구 상도동  328번지 13호  ,98.95,  0208218775  ,20190128,,20010731,상도제3동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,14.00,58.39,0.00,0.00,0.00,0.00,6.58,19.98,0.00,0.00,,,3190000-102-1980-00779,,,,,,내국인,대한민국
