시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,참고사항,조건부허가시작일,조건부허가종료일,조건부허가신고사유,신고조건,내외국인구분,국적
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,perm_nt_ymd,upso_nm,site_addr_rd,site_addr,trdp_area,upso_site_telno,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_gbn_nm,dcb_why,snt_uptae_nm,bdng_jisg_flr_num,bdng_jisg_flr_num2,bdng_under_flr_num,bdng_under_flr_num2,bdng_tot_flr_num,ed_fin_ymd,ge_eh_yn,grade_facil_gbn,site_loc_gbn,eip_man,eip_woman,ptsof_sort,ordtm_ptsof_avg,ordtm_ptsof_max,one_ptsof_stf,avg_food_amt,mng_gbn,trdp_area_jorijang,trdp_area_room,trdp_area_dance,trdp_area_etc,toil_area_upso,toil_etc_area_upso,trdp_area_dress_room,trdp_area_guest_seat,area_wrk,area_isp,trdp_disp_sil_ar,trdp_ware_depo_ar,perm_nt_no,rfn_item,cn_perm_stdt,cn_perm_enddt,cn_perm_nt_sayu,perm_nt_cn,kor_frgnr_gbn,ntn
3070000,102,2000,10353,유흥주점영업,20000626,아싸,서울특별시 성북구 아리랑로 3, (동소문동6가),서울특별시 성북구 동소문동6가  133번지 1호  ,,  02 9268515  ,20070213,,20000626,동선동,20120313,자진폐업,개인사유,룸살롱,0,0,1,1,0,20070413,비대상,상수도전용,지하,0,0,,,,,,,13.26,147.83,,5.40,8.28,,,59.84,0.00,0.00,,,3070000-102-2000-10353,,,,,,내국인,
3070000,102,2001,11071,유흥주점영업,20010627,카니발,서울특별시 성북구 아리랑로 3, (동소문동6가,(지하1층)),서울특별시 성북구 동소문동6가  133번지 2호  (지하1층),,  02 9271950  ,20181105,,20010627,동선동,,,,룸살롱,0,0,1,1,5,,비대상,상수도전용,지하,0,0,,,,,,,16.38,34.85,,40.94,,,,317.55,0.00,0.00,,,3070000-102-2001-11071,,,,,,내국인,대한민국
3070000,102,2001,11071,유흥주점영업,20010627,카니발,서울특별시 성북구 아리랑로 3, (동소문동6가,(지하1층)),서울특별시 성북구 동소문동6가  133번지 2호  (지하1층),,  02 9271950  ,20030117,,20010627,동선동,,,,룸살롱,0,0,1,1,5,,비대상,상수도전용,지하,0,0,,,,,,,16.38,34.85,,40.94,,,,317.55,0.00,0.00,,,3070000-102-2001-11071,,,,,,내국인,
3070000,102,2005,00002,유흥주점영업,20050517,세븐,서울특별시 성북구 동소문로20나길 3, (동선동1가),서울특별시 성북구 동선동1가  2번지 12호  ,106.52,02  929 6823  ,20130604,,20050517,동선동,,,,룸살롱,0,0,1,1,4,,비대상,상수도전용,지하,0,0,,,,,,,8.14,37.92,0.00,4.59,0.00,3.08,6.66,49.21,0.00,0.00,,,3070000-102-2005-00002,,,,,,내국인,대한민국
3070000,102,2004,00001,유흥주점영업,20040621,하트노래,서울특별시 성북구 아리랑로 4, (동선동4가,외 1필지),서울특별시 성북구 동선동4가  7번지  외 1필지,,  02 9277776  ,20160610,,20040621,동선동,,,,룸살롱,4,4,1,1,5,,비대상,상수도전용,지하,0,0,,,,,,,6.16,52.29,,10.40,,,5.07,20.16,,,,,3070000-102-2004-00001,,,,,,내국인,대한민국
3070000,102,1973,07650,유흥주점영업,19731031,시크릿,서울특별시 성북구 동소문로 225-3, (길음동),서울특별시 성북구 길음동  877번지 195호  ,,  0209122720  ,20170410,,19731031,길음제1동,,,,스텐드바,,,,,,,비대상,,지상,,,,,,,,,14.08,,,8.91,,3.10,,69.09,0.00,0.00,,,3070000-102-1973-07650,,,,,,내국인,대한민국
3070000,102,1974,07651,유흥주점영업,19740401,스카이 노래밤,서울특별시 성북구 종암로22길 7, (종암동),서울특별시 성북구 종암동  3번지 1235호  ,,  02 9177653  ,20100603,,20120329,종암동,,,,카바레,,,,,,,비대상,,,,,,,,,,,6.64,,,,2.64,,2.40,72.86,0.00,0.00,,,3070000-102-1974-07651,,,,,2008.10.07-종사원건강진단미필(종암서),내국인,대한민국
3070000,102,1974,07691,유흥주점영업,19740228,개구리스타,서울특별시 성북구 보문로 78, (보문동4가, 지하1층),서울특별시 성북구 보문동4가  77번지 2호  외3필지(76번지포함),,02  924 8842  ,20180223,,19951222,보문동,,,,카바레,,,,,,,비대상,,지하,,,,,,,,,14.00,,44.64,5.76,,15.00,,298.35,0.00,0.00,,,3070000-102-1974-07691,,,,,,내국인,대한민국
3070000,102,1974,07691,유흥주점영업,19740228,팝콘뮤직타운,서울특별시 성북구 보문로 78, (보문동4가, 지하1층),서울특별시 성북구 보문동4가  77번지 2호  외3필지(76번지포함),,02  924 8842  ,20180223,,19951222,보문동,,,,카바레,,,,,,,비대상,,지하,,,,,,,,,14.00,,44.64,5.76,,15.00,,298.35,0.00,0.00,,,3070000-102-1974-07691,,,,,,내국인,대한민국
3070000,102,1974,07691,유흥주점영업,19740228,개구리스타,서울특별시 성북구 보문로 78, (보문동4가, 지하1층),서울특별시 성북구 보문동4가  77번지 2호  외3필지(76번지포함),,02  924 8842  ,20150102,,19951222,보문동,,,,카바레,,,,,,,비대상,,지하,,,,,,,,,14.00,,44.64,5.76,,15.00,,298.35,0.00,0.00,,,3070000-102-1974-07691,,,,,,내국인,대한민국
3070000,102,1974,07691,유흥주점영업,19740228,팝콘뮤직타운,서울특별시 성북구 보문로 78, (보문동4가, 지하1층),서울특별시 성북구 보문동4가  77번지 2호  외3필지(76번지포함),,02  924 8842  ,20150102,,19951222,보문동,,,,카바레,,,,,,,비대상,,지하,,,,,,,,,14.00,,44.64,5.76,,15.00,,298.35,0.00,0.00,,,3070000-102-1974-07691,,,,,,내국인,대한민국
3070000,102,2011,00001,유흥주점영업,20110623,올챙이주점,서울특별시 성북구 보문로 78, (보문동4가,브라운관광호텔 지하1층),서울특별시 성북구 보문동4가  77번지 2호  브라운관광호텔 지하1층,98.03,02  924 8594  ,20121129,,20110623,보문동,,,,룸살롱,,,1,1,,,비대상,상수도전용,지하,,,,,,,,,3.78,48.39,0.00,17.73,6.38,0.00,0.00,21.75,,,,,3070000-102-2011-00001,,,,,,내국인,대한민국
3070000,102,2005,00001,유흥주점영업,20050418,발리,서울특별시 성북구 동소문로20길 12, (동소문동5가),서울특별시 성북구 동소문동5가  85번지  ,53.01,  02 9230277  ,20050418,,20050418,삼선동,,,,룸살롱,2,2,0,0,2,20050419,비대상,상수도전용,지상2층이상,0,0,,,,,,,2.56,29.91,0.00,0.00,1.62,0.00,0.00,18.92,0.00,0.00,,,3070000-102-2005-00001,,,,,2009.08.25-청소년종업원고용(성북서),내국인,
3070000,102,2000,10336,유흥주점영업,20000616,뉴욕캬바레,    ,서울특별시 성북구 석관동  337번지 1호  ,,  02          ,20000616,,20010601,석관동,20010531,자진폐업,자진폐업,카바레,,,,,,,비대상,상수도전용,,5,1,,,,,,,,,,,,,,,,,,,3070000-102-2000-10336,,,,,,내국인,
3070000,102,2002,00001,유흥주점영업,20020828,뉴월드 나이트크럽,    ,서울특별시 성북구 석관동  337번지 1호  ,,  02 9593501  ,20041207,,20020828,석관동,20050720,자진폐업,사업부진,스텐드바,,,,,,20050225,비대상,,지하,,,,,,,,,67.31,59.66,42.49,,25.44,,18.38,344.50,,,,,3070000-102-2002-00001,,,,,,내국인,
3070000,102,1970,07691,유흥주점영업,19700610,삼성민속주점,    ,서울특별시 성북구 종암동  3번지 75호  ,,  0209121080  ,19700610,,19700610,종암동,20051130,자진폐업,철거,룸살롱,0,0,0,0,,20011123,비대상,상수도전용,,3,3,,,,,,,2.60,6.75,,,8.94,,6.75,102.80,0.00,0.00,,,3070000-102-1970-07691,,,,,,내국인,
3070000,102,1971,07653,유흥주점영업,19711102,야광스텐드빠,    ,서울특별시 성북구 종암동  16번지 4호  ,,  02 9130038  ,19711102,,19711102,종암동,19960408,자진폐업,자진폐업,스텐드바,,,,,,,비대상,상수도전용,,2,5,,,,,,,,,,,,,,,,,,,3070000-102-1971-07653,,,,,,내국인,
3070000,102,1990,07648,유흥주점영업,19900410,퀸스룸비지니스,    ,서울특별시 성북구 종암동  3번지 1343호  ,,  02 9292000  ,20010522,,19900410,종암동,20060814,자진폐업,영업부진,룸살롱,0,0,2,2,11,20011123,비대상,상수도전용,지하,62,5,,,,,,,31.35,256.04,118.50,256.54,42.80,,,497.07,0.00,0.00,,,3070000-102-1990-07648,,,,,,내국인,
3070000,102,2000,10345,유흥주점영업,20000622,지덱,    ,서울특별시 성북구 동선동1가  114번지 1호  플라망스타워1502호,,  0262321472  ,20000622,,20000622,동선동,20001031,자진폐업,자진폐업,카바레,,,,,,,비대상,상수도전용,,0,0,,,,,,,,,,,,,,,,,,,3070000-102-2000-10345,,,,,,내국인,
3070000,102,1968,07693,유흥주점영업,19680215,(주)대원각,    ,서울특별시 성북구 성북동  323번지  ,,  0207620161  ,19940630,,19680215,성북동,20000201,행정처분,행정처분(허가취소),요정,,,,,,,비대상,상수도전용,,11,14,,,,,,,,,,,,,,,,,,,3070000-102-1968-07693,,,,,,내국인,
3070000,102,1972,07692,유흥주점영업,19721209,예향,    ,서울특별시 성북구 성북동  330번지 115호  ,,  02 7620151  ,19940930,,19721209,성북동,19971229,자진폐업,자진폐업,요정,,,,,,,비대상,상수도전용,,,,,,,,,,,,,,,,,,,,,,3070000-102-1972-07692,,,,,,내국인,
3070000,102,2000,10406,유흥주점영업,20000724,바다 가요주점,    ,서울특별시 성북구 장위동  45번지 12호  ,13,14,25,280.13,  02 9436004  ,20080509,,20000724,장위제1동,20090624,자진폐업,영업부진,룸살롱,0,0,0,0,0,,비대상,,,0,0,,,,,,,13.86,26.18,37.17,6.00,6.00,,22.11,168.81,0.00,0.00,,,3070000-102-2000-10406,,,,,,내국인,대한민국
3070000,102,2003,00001,유흥주점영업,20030828,무학,    ,서울특별시 성북구 장위동  45번지 1호  ,190.60,02  943 1669  ,20030828,,20030828,장위제1동,20070316,자진폐업,사업부진,카바레,0,0,1,0,5,,비대상,상수도전용,지하,0,0,,,,,,,9.95,26.60,0.00,0.00,0.00,0.00,0.00,154.05,0.00,0.00,,,3070000-102-2003-00001,,,,,,내국인,
3070000,102,1967,07652,유흥주점영업,19690916,뉴OB,    ,서울특별시 성북구 하월곡동  88번지 71호  ,,  02 9120420  ,19961011,,19690916,월곡제1동,19950630,자진폐업,행정처분,카바레,,,,,,,비대상,상수도전용,,6,11,,,,,,,,,,,,,,,,,,,3070000-102-1967-07652,,,,,,내국인,
3070000,102,2000,10279,유흥주점영업,20000509,천궁관광카바레,    ,서울특별시 성북구 하월곡동  88번지 413호  ,,  02 9191963  ,20050601,,20000509,월곡제1동,20060411,자진폐업,영업부진,관광호텔나이트(디스코),8,8,1,1,0,20050621,비대상,상수도전용,지하,0,0,,,,,,,20.64,,114.21,70.31,47.53,,,639.61,,,,,3070000-102-2000-10279,,,,,,내국인,
3070000,102,1975,07649,유흥주점영업,19750224,방콕,    ,서울특별시 성북구 길음동  535번지 20호  ,,  0209126902  ,19941129,,19750224,길음제1동,20000217,행정처분,행정처분(허가취소),스텐드바,,,,,,,비대상,상수도전용,,2,6,,,,,,,,,,,,,,,,,,,3070000-102-1975-07649,,,,,,내국인,
3070000,102,2001,10866,유흥주점영업,20010402,여우,    ,서울특별시 성북구 길음동  25번지 7호  ,,  02 9859333  ,20070502,,20010402,길음제1동,20090211,자진폐업,영업부진,룸살롱,6,6,1,1,0,,비대상,상수도전용,,2,1,,,,,,,4.59,44.04,,4.60,4.60,,,36.93,0.00,0.00,,,3070000-102-2001-10866,,,,,과태료20만원부과(2009.12),내국인,
3070000,102,1973,07689,유흥주점영업,19730901,세종,    ,서울특별시 성북구 안암동5가  104번지 119호  ,104-129,,  0209265595  ,19940203,,19730901,안암동,20091229,자진폐업,영업부진,룸살롱,3,3,0,0,0,20011123,비대상,상수도전용,지상,3,4,,,,,,,47.60,19.31,,3.12,,17.50,,,,,,,3070000-102-1973-07689,,,,,'07.8.30영업장무단확장(최병희),내국인,
